work_order_id,correlation_id,title,phase,source_status,status,repo_path,depends_on,blocks,companion_gate_ref,source_context,deterministic,allows_network,allows_dependency_install,allows_dependency_changes,proof_required,proof_uri,human_approval_required,verification_command,completion_gate,rollback_plan,intent_lock
TASK-CDB023,CDB023,Implement macro_rules static inventory,rust-static,complete,review,src/nu_plugin,TASK-CDB022,,GATE-CDB023,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L185-L212,L357-L364"",""evidence_paths"":[""src/nu_plugin/logs/CDB023-macros.log"",""src/nu_plugin/macro tables""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":null,""owner_surface"":""code"",""prd_sections"":""10.6"",""raw_log_paths"":[""src/nu_plugin/logs/CDB023-macros.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""claiming full hygiene truth"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#4-static-rust-items-macros-build-script-detection""}",true,false,false,false,true,,true,macro fixture passes with gaps where needed,macros captured,Remove only the LifeOS review handoff for TASK-CDB023 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:341a6b75f461667edf656498c816cdd7bba179388d12040317033a8db6735c16"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB024,CDB024,Implement proc-macro static detection and gaps,rust-static,complete,review,src/nu_plugin,TASK-CDB022,,GATE-CDB024,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L185-L212,L357-L364"",""evidence_paths"":[""src/nu_plugin/logs/CDB024-proc-macro.log"",""src/nu_plugin/proc_macro tables"",""src/nu_plugin/capture_gaps""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":null,""owner_surface"":""code"",""prd_sections"":""10.7"",""raw_log_paths"":[""src/nu_plugin/logs/CDB024-proc-macro.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""proc macro execution"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#4-static-rust-items-macros-build-script-detection""}",true,false,false,false,true,,true,proc macro fixture emits static rows/gaps,proc macros detected,Remove only the LifeOS review handoff for TASK-CDB024 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:b6ecb162b281e2152934d95726e9b79d538505c239be7a1539dc808fe454f6b1"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB025,CDB025,Implement build.rs static detection and gaps,rust-static,complete,review,src/nu_plugin,TASK-CDB022,TASK-CDB027;TASK-CDB033,GATE-CDB025,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L185-L212,L357-L364"",""evidence_paths"":[""src/nu_plugin/logs/CDB025-build-static.log"",""src/nu_plugin/build_scripts"",""src/nu_plugin/capture_gaps""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":null,""owner_surface"":""code"",""prd_sections"":""10.8"",""raw_log_paths"":[""src/nu_plugin/logs/CDB025-build-static.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""build script execution"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#4-static-rust-items-macros-build-script-detection""}",true,false,false,false,true,,true,build script fixture emits static rows/gaps,build scripts detected,Remove only the LifeOS review handoff for TASK-CDB025 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:2f592cdaadd6ce980a89e56656d124cb8db7120c15e92cce16e75b59bd0d6cbe"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB026,CDB026,Implement static include/path edge detection,rust-static,complete,review,src/nu_plugin,TASK-CDB022,,GATE-CDB026,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L185-L212,L357-L364"",""evidence_paths"":[""src/nu_plugin/logs/CDB026-include.log"",""src/nu_plugin/static_include_edges""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":null,""owner_surface"":""code"",""prd_sections"":""10.10"",""raw_log_paths"":[""src/nu_plugin/logs/CDB026-include.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""dynamic file tracing claims"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#4-static-rust-items-macros-build-script-detection""}",true,false,false,false,true,,true,include fixture passes,include edges captured,Remove only the LifeOS review handoff for TASK-CDB026 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:4782ae5db57ad0ba8c9d85a7cd3f65d3b4728f029a0d559123e457c278049073"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB027,CDB027,Implement native/linker static/gap rows,native,complete,review,src/nu_plugin,TASK-CDB025,,GATE-CDB027,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L185-L212,L357-L364"",""evidence_paths"":[""src/nu_plugin/logs/CDB027-native.log"",""src/nu_plugin/native/link tables"",""src/nu_plugin/capture_gaps""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":null,""owner_surface"":""code"",""prd_sections"":""10.9"",""raw_log_paths"":[""src/nu_plugin/logs/CDB027-native.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""linker mutation"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#3-filesystem-source-cargo-cfg-capture""}",true,false,false,false,true,,true,native fixture emits rows/gaps,native facts represented,Remove only the LifeOS review handoff for TASK-CDB027 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:ac7b3b52e8609db181c9be11b7912282ff4f641f90f1f08ccbfd37d6ccedb9f8"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB028,CDB028,Implement no-mutation proof,proof,complete,review,src/nu_plugin,TASK-CDB017,TASK-CDB039;TASK-CDB044,GATE-CDB028,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L185-L212,L357-L364"",""evidence_paths"":[""src/nu_plugin/logs/CDB028-no-mutation.log"",""src/nu_plugin/no_mutation_proofs""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":null,""owner_surface"":""code"",""prd_sections"":""15.1"",""raw_log_paths"":[""src/nu_plugin/logs/CDB028-no-mutation.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""repo mutation"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#5-capture-gaps-and-validation-errors""}",true,false,false,false,true,,true,clean/dirty git fixtures pass,no mutation proven,Remove only the LifeOS review handoff for TASK-CDB028 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:b0bc4edcb73e79fe0d9b8793f561b21f26e74fa3746de04a1f8ee4bd68ac5d16"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB029,CDB029,Implement codedb CLI scan/export/schema,cli,complete,review,src/nu_plugin,TASK-CDB015;TASK-CDB017;TASK-CDB019;TASK-CDB022,TASK-CDB030;TASK-CDB031;TASK-CDB032;TASK-CDB035;TASK-CDB036;TASK-CDB039;TASK-CDB042,GATE-CDB029,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L185-L212,L357-L364"",""evidence_paths"":[""src/nu_plugin/logs/CDB029-cli.log"",""src/nu_plugin/codedb CLI""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":null,""owner_surface"":""code"",""prd_sections"":""13.2"",""raw_log_paths"":[""src/nu_plugin/logs/CDB029-cli.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""interactive hidden prompts"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#6-nushell-plugin-and-cli-outputs""}",true,false,false,false,true,,true,JSON/NUON/CSV outputs validate,CLI usable,Remove only the LifeOS review handoff for TASK-CDB029 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:c108038a4e06f0b2b0737647905a3c216a92a9423a3288ac314dfa521d1783bb"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB030,CDB030,Implement Nushell plugin commands,nu-plugin,complete,review,src/nu_plugin,TASK-CDB029,TASK-CDB031;TASK-CDB050,GATE-CDB030,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L185-L212,L357-L364"",""evidence_paths"":[""src/nu_plugin/logs/CDB030-nu-plugin.log"",""src/nu_plugin/nu_plugin_codedb""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":null,""owner_surface"":""code"",""prd_sections"":""13.1,14"",""raw_log_paths"":[""src/nu_plugin/logs/CDB030-nu-plugin.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""hardcoding one Nu runtime"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#6-nushell-plugin-and-cli-outputs""}",true,false,false,false,true,,true,Nu command smoke passes,Nu plugin usable,Remove only the LifeOS review handoff for TASK-CDB030 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:40591c8d2102b3e07ac10c9a6399431184442e88f6856404b3835eac0b38ffcd"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB031,CDB031,Implement doctor checks,doctor,complete,review,src/nu_plugin,TASK-CDB029;TASK-CDB030,TASK-CDB038,GATE-CDB031,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L185-L212,L357-L364"",""evidence_paths"":[""src/nu_plugin/logs/CDB031-doctor.log"",""src/nu_plugin/codedb doctor""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":null,""owner_surface"":""code"",""prd_sections"":""14,16"",""raw_log_paths"":[""src/nu_plugin/logs/CDB031-doctor.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""silent degraded states"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md""}",true,false,false,false,true,,true,doctor reports Nu/Yazelix/Codex status,doctor accepted,Remove only the LifeOS review handoff for TASK-CDB031 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:a89c6af04bd8413902a970b0b4626ac750e3647c8edbf8e066cc3568c5199d43"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB032,CDB032,Implement bounded read-only MCP server,mcp,complete,review,src/nu_plugin,TASK-CDB029,TASK-CDB033;TASK-CDB037;TASK-CDB039;TASK-CDB043;TASK-CDB060;TASK-CDB062,GATE-CDB032,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L185-L212,L357-L364"",""evidence_paths"":[""src/nu_plugin/logs/CDB032-mcp.log"",""src/nu_plugin/codedb mcp serve""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":null,""owner_surface"":""code"",""prd_sections"":""13.3,15.4,16.1"",""raw_log_paths"":[""src/nu_plugin/logs/CDB032-mcp.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""unbounded raw source tools"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#7-bounded-codex-mcp-bridge""}",true,false,false,false,true,,true,MCP page/limit/source guard tests pass,MCP safe,Remove only the LifeOS review handoff for TASK-CDB032 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:0a26d15765b0df907cc29b1241c0484b0b09c8e5d1f8727012ecf380b5b9e8bc"",""schema"":""lifeos.intent-lock.v1""}"
TASK-CDB033,CDB033,Implement unsafe build capture gate scaffold,unsafe,complete,review,src/nu_plugin,TASK-CDB025;TASK-CDB032,TASK-CDB034;TASK-CDB045,GATE-CDB033,"{""acceptance_refs"":[""src/nu_plugin/ACCEPTANCE.md""],""checklist_ref"":""nu_plugin_codedb_execution_package_checklist.md:L185-L212,L357-L364"",""evidence_paths"":[""src/nu_plugin/logs/CDB033-unsafe-gate.log"",""src/nu_plugin/capture build""],""family"":""core"",""first_run_refs"":[""src/nu_plugin/FIRST_RUN_PROMPT.md""],""gitkb_slug"":null,""goal_ref"":""GOAL.md"",""governing_docs"":[""src/nu_plugin/CODEDB_START_HERE.md"",""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/NAVIGATION.md"",""src/nu_plugin/DOC_GRAPH.md"",""src/nu_plugin/DRIFT_GUARD.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/GOAL.md"",""src/nu_plugin/SUBGOALS.md"",""src/nu_plugin/ACCEPTANCE.md"",""src/nu_plugin/FIRST_RUN_PROMPT.md"",""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md"",""src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""notes"":null,""owner_surface"":""code"",""prd_sections"":""15.2,10.8"",""raw_log_paths"":[""src/nu_plugin/logs/CDB033-unsafe-gate.log""],""safety_constraints"":[],""source_files"":[""src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md"",""src/nu_plugin/execution/TASK_GRAPH.csv""],""source_truth"":""src/nu_plugin/execution/TASK_GRAPH.csv"",""stop_condition"":""default execution"",""stop_condition_refs"":[""src/nu_plugin/READINESS_GATE.md"",""src/nu_plugin/STOP_CONDITIONS.md"",""src/nu_plugin/DRIFT_GUARD.md""],""subgoal_ref"":""SUBGOALS.md#4-static-rust-items-macros-build-script-detection""}",true,false,false,false,true,,true,refuses without unsafe flag,unsafe gate enforced,Remove only the LifeOS review handoff for TASK-CDB033 and regenerate from the pinned c84740532ded2a27ee283ea7a3a5f303eaeb61a7 snapshot; never mutate src/nu_plugin from this import record.,"{""algorithm"":""BLAKE3-256"",""canonicalization"":""sorted-key-json-utf8-v1"",""digest"":""blake3:94be2c2864a59a86d8a86f5226a13238bdc8ab42d26880de7dffa8bc4e9ea565"",""schema"":""lifeos.intent-lock.v1""}"
