id	title	blueprint_section	component	depends_on	verification_cmd	codex_ready	notes	detail
T011	Wire embedded terminal input path with parallel capture	§3.2	glass-engine-frontdoor	redb-state-plane,codedb-ingress	Terminal latency unaffected by capture; captured frames byte-match PTY stream	yes		Path: User → LifeOS/xterm → ordered Tauri channel → PTY stdin → yzx enter → Zellij → Nushell/process. In parallel the PTY bridge submits byte-exact CodeDB raw-frame envelopes (input, resize, output, exit, signal, error) to the redb owner under the issued session identity/grant/lease without delaying or reordering terminal delivery; LifeOS never inserts rtk_nu, redb, or a Nushell plugin in front of the terminal process.
T012	Wire LifeOS control-action route through envctl authorization	§3.2	envctl-committer-security	redb-state-plane,codedb-ingress,postgres-ruvector-store	UI completion only appears after commit identity+witness attached	yes		Path: Svelte control → Tauri command plus complete CodeDB request envelope → redb owner → envctl validation → PostgreSQL/RuVector authorization/task/grant/branch/lease → envctl-controlled dispatch → execution surface → result ingestion. The Tauri capture client uses the same versioned CodeDB envelope schema as plugin ingress; no effect is reported complete until the durable return attaches its PostgreSQL commit identity and witness.
T013	Wire legacy-output ingestion pipeline	§3.2	rtk-rtk-nu-envelope	codedb-ingress,redb-state-plane	Run a legacy command through the pipeline; raw bytes and compact view both persisted with linkage	yes		Path: legacy command → rtk_nu byte-exact stdout/stderr/binary tee → lossless raw frames/digests plus rtk compact view → versioned JSONL/JSON/Nuon envelope → Nushell parser → typed Nu values → required `codedb ingest-envelope` child command → redb owner. Neither rtk nor rtk_nu calls the plugin directly; CodeDB verifies bytes and resolves/creates canonical raw-object IDs, persisting both raw and derived objects.
T014	Wire native Nushell ingestion bypassing rtk	§3.2	codedb-ingress	redb-state-plane	Native Nu value ingested with type fidelity preserved; no rtk hop	yes		Path: native Nu command/value → typed Nu pipeline → required `codedb ingest-envelope` child command → redb owner. Native typed values bypass rtk and rtk_nu because a text compressor would lose type fidelity.
T015	Wire live Glass projection over mmap plus UDS events	§3.2	redb-state-plane	glass-engine-frontdoor	Confirm no HTTP state server and no second writable redb opener; sidebar updates on events	yes		Path: redb owner commit → atomic publish of a checksummed generation to the owner-controlled read-only mmap projection → ordered local event over an authenticated Unix-domain socket → Tauri backend → mapped generation → Svelte store/sidebar. This is local event-driven shared-state IPC — not HTTP, not PostgreSQL polling; LifeOS never opens the writable redb file.
T016	Wire durable materialization route through envctl-only credentials	§3.2	envctl-committer-security	redb-state-plane,postgres-ruvector-store,ruvllm-agentdb-rvf-integration	Only envctl role holds authoritative PG write credential; commit receipt returned to redb	yes		Path: redb owner ordered WAL → envctl validation/policy/idempotency → database-authorized embedding executor when required → codedb-store-pg under envctl-only credentials → PostgreSQL/RuVector transaction → commit LSN/witness → redb acknowledgement/event.
T017	Wire database-to-engine and database-to-glass return paths	§3.2	envctl-committer-security	redb-state-plane,glass-engine-frontdoor,codedb-ingress	Pending vs complete UI states distinguished by presence of commit identity	yes		Return routes: DB task/state/policy/grant/lease → envctl-validated CodeDB query/projection/materialization → redb projection/event and/or controlled Yazelix task → PTY/structured result → complete ingestion → DB; and DB committed generation → envctl-controlled CodeDB typed projection → redb owner commit/event → Tauri/Svelte view → user acknowledgement/effect capture → durable materialization. Speculative local state may show pending; completion displays only after its PostgreSQL commit identity attaches.
T018	Bind full identity tuple on every path and hop	§3.2	data-schema	codedb-ingress,envctl-committer-security,witness-chain	Trace one request end-to-end and verify all bound identities present	yes		Every path binds tenant, identity, session, request, execution, task, branch, lease, local sequence, raw object/frame identities, typed-record identity, parser/filter revision, timestamps, exit status, idempotency key, PostgreSQL commit identity, and witness; every hop records delivery, acknowledgement, retry, and error state.
T019	Route agent-mediated front door through Codex	§3.2	glass-engine-frontdoor	envctl-committer-security	Agent-mediated route traverses Codex; non-agent controls do not	yes		Codex is the mandatory intent-handling hop for the anchor's agent-mediated LifeOS front-door route and one database-controlled agent surface in the Engine Room; it is not an artificial hop for non-agent UI controls, and direct query/projection/envctl/runner/security routes retain the same capture and return contract.
T020	Build the flexnetos-redb-owner single-writer service	§3.3	redb-state-plane	none	Owner service runs and ingests while LifeOS is closed; only one writable opener exists	yes		Because redb permits one writable Database opener and provides no mmap backend or cross-process notification, one supervised `flexnetos-redb-owner` local service must own the only writable handle and state file; CodeDB, envctl, and Yazelix processes are authenticated mutation/query clients over a versioned Unix-domain protocol. The owner serializes mutations, serves consistent snapshots, and emits ordered commit notifications with local_seq, transaction/table/key scope, projection generation, mmap generation, and checksum; it is lifecycle-independent of the Glass.
T021	Implement atomic mmap projection publication	§3.3	redb-state-plane	none	Kill mid-publish and verify readers never observe torn/unchecksummed generation; format pinned	yes		The owner publishes a versioned read-only memory-mapped projection region with header, schema revision, generation, local_seq, payload length, checksum, and immutable snapshot payload; it writes the next generation into an inactive region, fsyncs it, atomically flips the active-generation descriptor, and only then emits the matching ordered notification. LifeOS verifies generation/checksum before rendering. Owner service, mmap format, atomic publication algorithm, path/permissions, schema/version negotiation, stale-reader detection, and corruption fallback are required additions and activation blockers until implemented and pinned.
T022	Implement crash recovery, replay, and reconnect protocol	§3.3	redb-state-plane	envctl-committer-security,postgres-ruvector-store	Crash/kill test: no duplicate or lost records after replay with idempotency keys	yes		Crash recovery runs redb ACID recovery, validates the contiguous local sequence and frame checksums, regenerates and atomically republishes the mmap projection, and resumes envctl from `reconcile_cursor`. envctl commits with a stable idempotency key, records PostgreSQL transaction/LSN/generation/witness, then acknowledges the local record — an acknowledgement never precedes the durable commit. A client reconnect compares last event and mapped generation; gap, stale generation, or checksum mismatch forces a fresh snapshot plus replay.
T023	Implement PTY emergency spool for backpressure	§3.3	byte-capture-reconciliation	redb-state-plane,envctl-committer-security	Induce owner outage during interactive PTY; verify spool capture, replay, and post-commit removal	yes		Backpressure never discards PTY or process frames: controlled task delivery pauses where safe; an already interactive PTY uses an fsynced, sequential, content-addressed emergency spool registered to its session/lease, replays it into the recovered owner, and cannot receive a completion acknowledgement until every spooled byte is reconciled; the spool is removed only after PostgreSQL commit/witness acknowledgement.
T024	Benchmark sidebar freshness SLO	§3.3	redb-state-plane	glass-engine-frontdoor	Run the freshness benchmark and record measured latency	yes		Sidebar freshness is measured from owner commit through mmap publication/event wakeup to rendered Svelte state; sub-millisecond delivery is a performance SLO to benchmark, not an assumed storage guarantee.
T025	Implement, package, pin, and witness rtk_nu	§3.4	rtk-rtk-nu-envelope	nix-release-gate	rtk_nu binary exists, is pinned, and is witnessed; activation blocked until then	yes		The pinned rtk-tokenkill source provides only `rtk`; no `components/rtk_nu` exists in the pinned meta tree. `rtk_nu` is a required FlexNetOS adapter to implement, package, pin, and witness before activation — it tees byte-exact process streams and emits the versioned envelope.
T026	Implement the versioned lossless envelope schema	§3.4	rtk-rtk-nu-envelope	data-schema	Round-trip binary/invalid-UTF-8 output through the envelope and verify byte-exact recovery	yes		The rtk_nu JSONL/JSON/Nuon envelope must include schema version; tenant/identity/grant/lease/session/request/execution/task/branch IDs; exact argv and cwd; selected-environment digest; ordered stdout/stderr/binary frame IDs; stream name, byte offset/length, lossless base64 payload, provisional frame/content identity, digest; exit status/signal/timing; rtk filter and revision; compact representation; parser name/revision/status/error; typed payload; idempotency key; and provenance/witness seed. JSONL chunks large streams without changing frame order. The tee occurs before any decoding, compression, normalization, truncation, or parsing; invalid UTF-8, binary, partial lines, parse failures, stderr interleaving, and nonzero exits retain original bytes and ordering.
T027	Verify and canonicalize raw objects in CodeDB	§3.4	codedb-ingress	rtk-rtk-nu-envelope,redb-state-plane	Ingest duplicate payloads; verify dedup, digest check, and receipt with raw_object_id	yes		CodeDB decodes each envelope payload, verifies length and digest, stores or deduplicates the exact bytes, assigns the canonical `raw_object_id`, and returns that identity in the typed receipt before accepting the typed/compact linkage; compact or typed representations supplement but never replace raw objects.
T028	Implement codedb ingest-envelope plugin command	§3.4	codedb-ingress	redb-state-plane	`rtk_nu --format jsonl -- <cmd> | from json --objects | codedb ingest-envelope` returns typed receipt	yes		The pinned CodeDB plugin registers only scan/capture/materialize/import/query commands with Nothing inputs; `codedb ingest-envelope` with typed record/list/table input and a typed receipt output is an explicit release-blocking addition. After implementation, Nushell invokes the plugin child which validates the envelope, links raw objects, and persists through the redb-owner client contract. Nu 0.113.1 typed boundaries are `from json --objects`, `from json`, `from nuon`.
T029	Restrict direct PostgreSQL writes to envctl	§3.4	envctl-committer-security	codedb-ingress,postgres-ruvector-store	Audit DB roles: no authoritative write grant for plugin/agent roles	yes		CodeDB's direct PostgreSQL store (`codedb-store-pg`) is restricted to parity tests, bootstrap/import, read-only query, repair, or migration roles carrying explicit database grants; production plugin/agent roles receive no authoritative PostgreSQL write credential — envctl is the only component permitted to execute the authoritative CodeDB PostgreSQL mapping and commit. MessagePack is the Nu plugin process protocol only, not the redb on-disk format.
T030	Deploy PostgreSQL 17.10 with RuVector, no sidecars	§4.1	postgres-ruvector-store	none	`SELECT extversion FROM pg_extension WHERE extname='ruvector'` on PG 17.10; no sidecar services present	yes		PostgreSQL 17.10 plus the RuVector extension form the Central Cognitive Runtime supplying ACID, MVCC, RLS, advisory locks, triggers, background workers, WAL, streaming replication, base backup, and PITR; RuVector supplies database-local vector/hybrid/lexical/graph/GNN/causal/MinCut/routing/learning/embedding operations. The database hosts codebase bytes and semantic IDE structures with no vector or graph sidecar.
T031	Capture all LifeOS/Codex interactions into the database	§4.2	glass-engine-frontdoor	redb-state-plane,codedb-ingress	Interaction/MCP/model-exchange records present in DB for a test session	yes		Every LifeOS/Codex interaction, MCP call, model exchange, PTY frame, decision, mapped generation, and rendered state is captured; the Svelte sidebar renders the owner-published redb mmap generation using the ordered event as wakeup; neither LifeOS nor Codex owns operational truth; the Vue frontend is current-state evidence that must be migrated, not the target contract.
T032	Embed Yazelix via real PTY without reimplementation	§4.3	glass-engine-frontdoor	codedb-ingress	Editor/shell activity in embedded pane appears in capture plane records	yes		LifeOS embeds the Nix-owned Zellij runtime via `yzx enter` through a real PTY and does not reimplement it; keystroke-derived commands, input bytes, resize events, buffer changes, save operations, paths, file effects, diagnostics, terminal output, exit state, and reconnection state round-trip through the capture plane.
T033	Enforce rtk_nu role boundaries	§4.4	rtk-rtk-nu-envelope	none	Code review/tests confirm rtk_nu never calls the plugin or emits Nu values	yes		rtk_nu tees byte-exact process streams, invokes or consumes rtk as configured, and emits the versioned envelope for Nushell to parse; it never emits a native Nu value by itself, never invokes nu_plugin_codedb directly, and never handles an already-typed native Nu pipeline; raw frames and parse failures always accompany normalized representations.
T034	Capture all redb state into PostgreSQL and pin versions	§4.6	redb-state-plane	postgres-ruvector-store,envctl-committer-security	redb contents reconcilable from PostgreSQL records; redb 4.1 and 2.1 pins verified	yes		redb 4.1 is the embedded ACID boundary; one supervised owner holds the only writable Database; the integration adds the read-only mmap projection and ordered commit-event wakeup subordinate to the owner's transaction sequence. Every redb byte, mapped generation, state, cache entry, log, intermediate result, retry record, vector, and transition is captured in PostgreSQL/RuVector; RuVector's internal storage separately uses its pinned redb 2.1 and must not be conflated.
T035	Implement the envctl drain/embed/commit loop	§4.7	envctl-committer-security	redb-state-plane,codedb-ingress,postgres-ruvector-store	End-to-end drain→embed→commit→project cycle demonstrated; release gate	yes		envctl must drain ordered redb records, validate policy and idempotency, orchestrate a database-authorized embedding executor when a target schema requires vectors, invoke the CodeDB PostgreSQL mapping with envctl-only credentials, record the commit identity, and project worktrees, Nix inputs, runtime configuration, and activation state. The pinned envctl checkout does not implement this loop; the loop and its capability enforcement are release gates.
T036	Establish the permanent table-conversion flow	§4.7	envctl-committer-security	postgres-ruvector-store	A config round-trips rows→tables→files and back with source files retained	yes		The permanent operational flow is `database rows ↔ validated envctl tables ↔ Nushell tables ↔ controlled files`, with original source files retained as evidence; envctl is materializer, synchronization boundary, configuration-table operator, security boundary, projection manager, and activation interface.
T037	Use ruvllm/Candle as default embedding path	§4.7	ruvllm-agentdb-rvf-integration	envctl-committer-security,nix-release-gate	Embedding executor resolves to Candle path; ONNX only via approved closure	yes		ruvllm/Candle is the default approved local embedding path for envctl-orchestrated embedding; ONNX/ort is optional only in a separately approved closure.
T038	Wire coordination tools as database-controlled projections	§4.8	other	postgres-ruvector-store,codedb-ingress	Records from each tool traceable to database rows	yes		Git (import/export/review/recovery), GitKB (linked decisions/memory), meta (repository/workspace/release graph), beads_rust/br (executable task atoms), ICM (context manifests), rusty-idd (work orders, ledgers, proofs, runner integration), and weave (session mesh, durable messages, fenced jobs, runner dispatch) must all operate as PostgreSQL/RuVector-controlled projections with every record round-tripping to the database.
T039	Emit complete runner and build-surface receipts	§4.9	nix-release-gate	postgres-ruvector-store,envctl-committer-security	A runner job produces a complete receipt row set in the database	yes		Nix defines reproducible build/materialization closures; flexnetos_runner performs database-issued build, test, and release work and emits complete receipts; all compiler/toolchain/GPU/network surfaces (Rust, Bun, cargo-pgrx, CUDA, ONNX Runtime, Candle, network-control/netengine/iroh, etc.) are controlled execution surfaces whose inputs, packets, decisions, outputs, binaries, logs, and device effects return completely to the database.
T040	Integrate the cognition stack under database ownership	§4.10	ruvllm-agentdb-rvf-integration	postgres-ruvector-store,sona-rl,ruflo-ruvltra-atas	Model I/O, .rvf bytes, learned generations, and forecast evidence present in database	yes		ruvllm runs shared frozen foundation models, local inference, and embeddings (CPU/SIMD, Candle, ONNX/ort, CUDA, GGUF mmap, quantized); AgentDB manages active agent cognition projected as signed single-file `.rvf` containers via the RVF runtime; SONA, MicroLoRA, FastGRNN, Thompson Sampling, Q-Learning, PPO, GNNs learn and route from captured evidence under database promotion gates; Ruflo orchestrates swarms; RuvLTRA supplies temporal reasoning paths; ATAS runs timeline forecasting. Their state never displaces database ownership and forecasts never self-promote.
T041	Implement the six envctl secret subsystems	§5	envctl-committer-security	postgres-ruvector-store	A secret request traverses Engine→Broker→Mint/Vault→Relay→target with full audit capture	yes		Build Secret Engine (policy evaluation, issuance/renewal/rotation/revocation coordination), Secret Broker (requester authentication, lease resolution, least privilege, transaction recording), Secret Mint (short-lived purpose-bound scoped credential derivation), Seed Vault (root seeds, wrapping keys, identity roots, recovery material, rotation generations), Cognitum Seed (stable identity and derivation lineage under Seed Vault custody), and Secret Relay (encrypted delivery bound to identity/target/purpose/lease/nonce/expiration, blocking replay and cross-target reuse), executing as one PostgreSQL/RuVector-authorized lifecycle in the specified runtime order.
T042	Bootstrap security schemas and encrypted secret custody	§5	envctl-committer-security	postgres-ruvector-store,install-activation-order	Security schemas populated; secret bytes in encrypted custody with bootstrap audit records	yes		Bootstrap must initialize the security schemas, import protected secret bytes into encrypted custody, establish identities and trust roots, enroll providers and devices, provision Seed Vault records, register Cognitum lineage, and record every bootstrap byte and event.
T043	Implement rotation and revocation with proven cutover	§5	envctl-committer-security	postgres-ruvector-store,witness-chain	Rotate a secret and verify old authority retired with cutover proof; revoke and verify relay blocked	yes		Rotation advances the protected version or derivation epoch, updates dependent grants, retires earlier authority, and proves cutover; revocation invalidates grants and leases, blocks relay, records affected executions, and starts remediation.
T044	Enforce plaintext exposure boundaries	§5	envctl-committer-security	redb-state-plane,glass-engine-frontdoor	Scan redb, logs, UI state, and model context for absence of root plaintext	yes		PostgreSQL/RuVector retains protected encrypted secret bytes plus complete custody/policy/identity/issuance/transport/use/rotation/revocation/audit history; plaintext is exposed only to the exact authorized target for the exact lease lifetime; root plaintext never enters redb caches, UI projections, ordinary logs, command output, or general model context.
T045	Pin repositories to exact 2026-07-19 revisions	RV§2	nix-release-gate	none	git rev-parse of each checkout matches the pinned SHA	yes		Build from the exact pinned revisions: RuVector main 6a6c39e662a4c3184dcb913db91a09401c84b2ae, agentdb 04968e3fba3bf01ef4e9978d0446485452365a86, ruflo 12ede21767a6dd669df1b79392a5d27d9154f237, lifeos 3d741436, envctl 48368a97, weave b0ccd227, network-control 5341ea00, flexnetos_runner e6ccf713, rusty-idd 4c47c67f, nu_plugin 63d68743, rtk-tokenkill develop 44cf84e7, icm 03d63a91, yazelix 01790ae2, meta afc146fb, upstream rtk f9d8c775, redb reference fe014115.
T046	Pin Rust integration-plane crate versions	RV§2	nix-release-gate	postgres-ruvector-store,envctl-committer-security	Cargo.lock/cargo tree version audit against pinned coordinates	yes		envctl lifecycle carries PostgreSQL 17.10, server SQL lineage 0.3.0, ruvector-postgres integration coordinate 2.0.5 (repo manifest crate coordinate 2.0.1). The Rust plane pins ruvector-core 2.3.0, ruvector-graph 2.3.0, ruvllm 2.3.0, ruvector-sona 0.2.1, rvf-runtime 0.3.0, rvf-types 0.2.1, and RVF index/quant/crypto 0.2.0.
T047	Pin npm @ruvector binding versions	RV§2	ruvllm-agentdb-rvf-integration	nix-release-gate,ruflo-ruvltra-atas	lockfile/package.json audit against pinned versions	yes		Pin npm ruvector 0.1.2, @ruvector/core 0.1.31 (native platforms 0.1.29), @ruvector/wasm 0.1.31, @ruvector/router 0.1.30, @ruvector/gnn 0.1.25, @ruvector/attention 0.1.4 (attention WASM 0.1.32), @ruvector/ruvllm 2.6.1 (native NAPI 2.0.1, WASM 2.0.2), @ruvector/sona 0.1.8 (native 0.1.5), @ruvector/rvf 0.3.0, @ruvector/postgres-cli 0.2.9; Ruflo's JavaScript plane consumes @ruvector/ruvllm 2.6.1-family packages.
T048	Verify distribution planes converge on shared state	RV§2	byte-capture-reconciliation	postgres-ruvector-store,witness-chain	cross-plane schema/digest comparison test	yes		The Rust, NAPI/WASM/TypeScript, and PostgreSQL distribution planes must converge on the same PostgreSQL/RuVector schemas, byte identities, RVF records, and witness chains.
T049	Build rtk_nu raw-byte adapter	RV§2	rtk-rtk-nu-envelope	codedb-ingress	rtk_nu binary builds and satisfies the §3.4 raw-byte envelope contract	yes		rtk 0.43.0 at pinned fork develop revision 44cf84e7 contains no rtk_nu binary, and the meta repo has no components/rtk_nu implementation; rtk_nu is the required, separately packaged raw-byte tee and JSONL/Nuon adapter defined by §3.4 and is a release-blocking FlexNetOS addition.
T050	Import and build all 196 root workspace members	RV§2	nix-release-gate	byte-capture-reconciliation	cargo metadata member count matches declared inventory	yes		The pinned RuVector root manifest declares 196 member entries (195 unique paths); every member (crates, examples, ruvix, rvAgent, data, etc.) is built, tested, and captured byte-complete as part of the installed architecture.
T051	Import 137 additional Cargo manifest directories	RV§2	byte-capture-reconciliation	nix-release-gate	manifest-directory count audit against the enumerated list	yes		Beyond root members, 137 tracked Cargo manifest directories complete the inventory (agentic-robotics 6, other crates 17, RuVix 12, RVF 25, RVM 17, support/test/patch 4, other examples 15, data 5, exo-ai-2025 21, ruvLLM examples 3, vibecast-7sense 12); each is independently addressable in the component table and part of byte-complete build, test, provenance, and release capture.
T052	Import detached packages and external submodules	RV§2	nix-release-gate	byte-capture-reconciliation	release manifest lists detached artifacts and submodule commit bytes	yes		Detached first-class packages remain installed (ospipe 0.1.0, rvf-examples 0.1.0, micro-hnsw-wasm 2.3.2, ruvllm-esp32 0.3.0, ruvllm-esp32-flash 0.2.0, ruvector-edge-net 0.1.0, ruvector-data-framework 0.3.0, rvf-desktop 2.0.0, sonic_ct 0.1.0, complete RVF workspace, MCP brain server, others); external/ruqu and external/rvdna submodules are imported with their commit/tree bytes and their separate toolchains/artifacts bound into the same release manifest.
T053	Configure Rust toolchain minimums per workspace	RV§2	nix-release-gate	none	rustc --version per workspace meets minimum	yes		The RuVector root toolchain requires Rust minimum 1.77; the detached RVF workspace requires Rust minimum 1.87.
T054	Run release-gate executables and retain receipts	RV§2	nix-release-gate	postgres-ruvector-store,byte-capture-reconciliation	receipts present in the database for each gate executable	yes		The benchmark, correctness, chaos, replay, proof, SOTA ANN, vector-search, hybrid, graph, MinCut, attention, SONA, quantization, temporal-attractor, robotics, hardware, and verified-application packages are release-gate executables; their source bytes, datasets, parameters, outputs, measurements, and receipts are imported and retained under the same contract as production crates.
T055	Build named binaries with required features	RV§2	nix-release-gate	ruvllm-agentdb-rvf-integration	cargo build with the stated required feature per target succeeds	yes		Build ruvector-timesfm-forecast (requires feature candle, in ruvector-timesfm 2.2.4), mcp-brain-server-local (requires feature local), ruvllm-embedder (mcp-brain-server bin), ruvllm-bridge, ruvllm-pi-worker, ruvector-hailo-embed, ruvector-hailo-worker, ruvector-hailo-stats, ruvector-mmwave-bridge (ruvector-hailo-cluster bins; Hailo/mmWave device closures), plus WASM surfaces via wasm-bindgen/wasm-pack and Node surfaces via napi-rs.
T056	Migrate LifeOS to Svelte Glass release target	RV§2	glass-svelte-migration	redb-state-plane	release gate: Glass with embedded Yazelix PTY operational	yes		LifeOS current checkout is Vue/Tauri (src-tauri, lifeos-core, lifeos-daemon, lifeos-vue; Vue 3, Vite, Pinia, Tauri 2, Bun 1.3.14); the target/release gate adds Svelte Glass, a PTY controller, the yzx enter lifecycle/attach contract, and a redb-owner event client.
T057	Build CodeDB workspace binaries	RV§2	codedb-ingress	redb-state-plane,postgres-ruvector-store	three bins build and nu_plugin_codedb registers with Nu 0.113.1	yes		Build the nu_plugin/CodeDB workspace (codedb, codedb-cargo, codedb-context, codedb-core, codedb-fixtures, codedb-build-capture, codedb-mcp, codedb-rust-static, codedb-store-redb, codedb-store-pg, nu_plugin_codedb) producing bins codedb, codedb-mcp, and nu_plugin_codedb against Nu 0.113.1 with redb/PostgreSQL stores.
T058	Build envctl workspace binaries	RV§2	envctl-committer-security	postgres-ruvector-store,redb-state-plane	four bins build; envctl --version reports 0.1.0	yes		Build the envctl workspace (agent-env, engine, cli, gui, secrets-engine, secrets-proto, secretd, secretctl, secrets-store-libsql) producing bins envctl, envctl-gui, secretd, and secretctl with redb 4.1 and RuVector feature bundles.
T059	Install RuVector extension with pg17 feature	RV§3	postgres-ruvector-store	install-activation-order	SELECT ruvector_version() succeeds; extension present in schema extensions	yes		Build the RuVector PostgreSQL extension with pgrx and install it inside PostgreSQL with no vector, graph, or cognitive sidecar; the extension supports PostgreSQL 14/15/16/17 builds and this architecture installs the pg17 feature.
T060	Enable full-installation feature selection	RV§3	postgres-ruvector-store	none	feature-gated build succeeds and installed function set matches selection	yes		The full installation builds with pg17, SIMD, storage, HNSW, API, parallelism, real embeddings, UUID support, learning, attention, GNN, routing, gated transformer, hyperbolic, sparse, graph, solver, math, and TDA paths, selected from the exact feature vocabulary (pg14–pg17; simd-*; index-hnsw/ivfflat/all; quantization-*; learning/attention/gnn/hyperbolic/sparse/graph/routing/embeddings; gated-transformer/solver/math-distances/tda/attention-extended/sona-learning/domain-expansion; ai-complete/graph-complete/all-features bundles).
T061	Store golden manifest of installed SQL surface	RV§3	postgres-ruvector-store	nix-release-gate	pg_proc function list matches the stored golden manifest	yes		Feature gates select the installed subset of the 346 #[pg_extern]-annotated function definitions (344 unique identifiers; dag_export_state and dag_import_state each overloaded twice) across 43 files; the generated golden manifest of the installed subset is stored with each release.
T062	Verify operators, opclasses, and access methods	RV§3	postgres-ruvector-store	none	catalog checks of pg_operator, pg_opclass, and pg_am	yes		Confirm distance operators <-> (L2), <=> (cosine), <#> (negative inner product), + and - vector arithmetic; L1 only via ruvector_l1_distance() (no <+> operator exists); operator classes ruvector_l2_ops, ruvector_cosine_ops, ruvector_ip_ops plus sparse/array classes; index access methods hnsw and ruivfflat with ruhnsw_* diagnostics and scan/build/cost/maintenance/parallel/health/adaptive-probe/statistics hooks.
T063	Verify shipped SQL artifact contents	RV§3	postgres-ruvector-store	none	count named functions in installed SQL artifacts against 190 and 101	yes		The 1,300-line ruvector--0.3.0.sql artifact must emit 190 named SQL functions, the ruvector varlena type, six scalar/operator surfaces, the vector_sum aggregate, the hnsw and ruivfflat access methods, and cosine/L2/inner-product operator classes; ruvector--2.0.0.sql must emit 101 named functions.
T064	Create canonical runtime tables via migrations	RV§3	data-schema	postgres-ruvector-store	migrations apply cleanly and the canonical tables exist	yes		Project-owned canonical runtime tables are created by the migrations defined in subsection 16, built around the extension rather than inside it.
T065	Implement unified database-local retrieval plan	RV§4	retrieval-indexing	postgres-ruvector-store,witness-chain	end-to-end retrieval query returns byte objects with provenance and witnesses	yes		Wire retrieval as one database-local plan: identity+tenant+branch+authorization+JSONB metadata predicate → lexical BM25 set → dense/sparse/hyperbolic/late-interaction vector sets → HNSW/ACORN/DiskANN/LSM-ANN/IVF/PQ/RaBitQ execution → reciprocal-rank, relative-score, calibrated fusion → GNN/attention/causal/cross-encoder reranking → exact byte objects plus AST/symbol/dependency context, provenance, witnesses.
