INV04|Operate all Section-3 paths after cutover|The Tauri/Svelte Glass embeds the real `yzx enter`/Zellij Engine through a PTY, and every action, ingestion, live-projection, durable-commit, and controlled return path in §3 operates after cutover.|glass-engine-frontdoor|glass-svelte-migration,redb-state-plane,envctl-committer-security|path-walk of all eight physical pipelines (D05–D12)
INV06|Reconcile every redb byte to the canonical database|redb serves buffer, scratchpad, retry, semantic cache, inference dedupe, application WAL, geometry, and SIMD roles through one supervised owner; every local byte, projection generation, and event reconciles to PostgreSQL/RuVector.|redb-state-plane|envctl-committer-security,postgres-ruvector-store|monotonic local-seq/mmap-generation/LSN reconciliation; all records queryable in PostgreSQL
INV07|Enforce envctl-only commit capability in the database|Database capabilities must prevent plugin or agent bypass of envctl as the sole authoritative PostgreSQL/RuVector ingress committer, table operator, embedding orchestrator, security boundary, materializer, projection manager, and activation interface.|envctl-committer-security|postgres-ruvector-store|role/grant audit; negative direct-write tests from plugin/agent roles
INV08|Implement the six-subsystem secret lifecycle|Secret Engine, Secret Broker, Secret Mint, Seed Vault, Cognitum Seed, and Secret Relay must preserve protected bytes, constrained plaintext exposure, full lifecycle (issuance/renewal/rotation/revocation), and complete audit.|envctl-committer-security|postgres-ruvector-store|allow/deny, expiry, rotation, revocation, replay, cross-target, audit-chain, root-plaintext-exclusion tests
INV09|Install and use the complete ruvnet inventory|ruvnet/rUv, RuVector, AgentDB, RVF, ruvllm, RuvLTRA, SONA, MicroLoRA, FastGRNN, Ruflo, ATAS, and every official crate/package in the inventory must be installed and used, not replaced.|ruvllm-agentdb-rvf-integration|install-activation-order,nix-release-gate|pinned locked build/test per component; fixture; byte/provenance/witness round trip
INV10|Store raw bytes beside every derived representation|Raw bytes coexist with AST, lexical, vector, graph, model, forecast, index, pointer, manifest, digest, cache, and summary representations; hashes/manifests/pointers supplement byte capture and never replace it.|byte-capture-reconciliation|postgres-ruvector-store,codedb-ingress|raw-object survival across every transform; tree/blob reconstruction
INV11|Implement COW branch gates and pointer promotion|COW branches isolate proposals and simulations; witnessed merge gates and pointer promotion select winning timelines; rollback is exact.|cow-branching|postgres-ruvector-store,witness-chain|generation append; promotion/rollback pointer and byte verification; branch-isolation tests
INV12|Implement SHAKE256 witness chains transactionally|SHAKE256 witnesses bind source bytes, vectors, graph/causal lineage, transformations, executions, model state, artifacts, and releases; witness append occurs in the same transaction as the governed event.|witness-chain|postgres-ruvector-store|recompute entire chain; source endpoint resolution; tamper test; signature and replay verification
INV13|Implement WAL/PITR/reconstruction protection|PostgreSQL WAL, replication, base backup, PITR, restore drills, and reconstruction receipts must protect every state.|postgres-ruvector-store|none|backup/PITR drill; full reconstruction with row/count/hash checks
INV14|Close the return loop for every physical effect|Every physical effect and result completes the return loop; completion requires PostgreSQL commit identity and witness before final UI acknowledgement.|byte-capture-reconciliation|postgres-ruvector-store,witness-chain|D12 round-trip fixture: commit identity plus witness precede acknowledgement
INV16|Pin rtk_nu before accepting it as implemented|rtk_nu cannot be treated as implemented until its exact revision, schema, package closure, and witness are pinned — this gate governs the R17/R18 implementation acknowledgements at release.|rtk-rtk-nu-envelope|nix-release-gate|exact package/revision, schema closure, and witness pin executed at the release gate
INV17|Forbid concurrent redb opens and sidebar HTTP|One lifecycle-independent redb owner holds the only writable database-file handle; LifeOS maps only the published projection and never opens the file; no local HTTP server or PostgreSQL polling sits on the live sidebar path.|redb-state-plane|glass-engine-frontdoor|single-opener denial; no-HTTP check; latency-SLO tests
INV18|Eliminate conflicts and downgrade language before release|Zero unresolved in-scope architecture conflicts, unowned boundaries, invented current capabilities, or silent downgrade language are permitted at release.|nix-release-gate|none|structural checks, table consistency, release gates, final full-file reread
INV19|Keep the conformance atlas and checks green|All fifteen anchor sections, fourteen source diagrams, and ten anchor invariants must remain represented in the A01–A15 ledger and rendered as the D01–D24 Mermaid atlas; parser, path-walk, ownership, byte-lineage, and release-gate checks stay green.|other|nix-release-gate|Mermaid parser suite; semantic crosswalk; component-table checks
A06|Require commit identity before UI acknowledgement|The convergent Engine/Glass return, ingestion, durable commit, and acknowledgement loop (D12) requires PostgreSQL commit identity and witness before the final UI acknowledgement.|glass-engine-frontdoor|postgres-ruvector-store,witness-chain|D12 completion fixture verifying commit identity and witness ordering
A11|Keep learning and forecast promotion database-gated|ruvllm, AgentDB, RVF, SONA/MicroLoRA, routing, and Ruflo/RuvLTRA/ATAS must return complete model/RVF bytes and forecast evidence; promotion remains database-gated with no self-promotion.|ruflo-ruvltra-atas|sona-rl,ruvllm-agentdb-rvf-integration,postgres-ruvector-store|seeded ensemble replay; predicted-versus-observed capture; no-self-promotion test
