RV§11|Implement ATAS forecasting on isolated branches|ATAS (Agentic Temporal Attractor Studio) combines Echo-State Networks/reservoir computing, temporal strange attractors, coherence graphs, cut profiles, RuvLTRA temporal reasoning, RuVector temporal tensors, TimesFM, AgentDB episodes, RVF COW timelines, Ruflo ensembles, MinCut boundary isolation, and graph repair. Each forecast creates isolated future-timeline branches and ensemble simulations; actual outcomes return to the forecast record, update calibration, and train SONA/RL, preserving predicted-versus-observed history. Forecasts inform the decision gate and never self-promote a branch.|ruflo-ruvltra-atas|cow-branching,sona-rl|Forecast rows carry observation-linked calibration; no branch pointer change originates from ATAS
RV§14|Wire the live typed ingress route|Implement: immutable raw object/frame refs + Nu value + typed table + identity + provenance → Nushell 0.113.1 invokes nu_plugin_codedb → MessagePack plugin frames → CodeDB core and build/static/context enrichers → flexnetos-redb-owner client protocol → redb 4.1 transaction/event → envctl validation/authorization/ordered reconciliation → codedb-store-pg mapping over postgres/rustls → PostgreSQL byte objects + relational rows + RuVector projections → typed query result through the same plugin process. codedb, codedb-mcp, and nu_plugin_codedb share object identities; rtk adds compact views; rtk_nu supplies the byte-first envelope with raw-object linkage; original logs/blobs stay attached.|codedb-ingress|rtk-rtk-nu-envelope,redb-state-plane,envctl-committer-security|Typed round trip through nu_plugin_codedb returns the committed identity with raw-object linkage
RV§15|Build hermetic Nix shell and package extension|Evaluate FlexNetOS/yazelix at 01790ae2292a0060acb015d72e3bec8a21b0b0ef, import its locked nixpkgs, assert x86_64-linux and PostgreSQL 17.10, compose a shell around lifeos_foundation_yzx, build cargo-pgrx 0.12.9 in-closure from pgcentralfoundation/pgrx rev a21888973a18b787fa2c09f86936ea9c4a20de4b (no host cargo-pgrx), materialize RuVector at /srv/flexnetos/sources/RuVector/6a6c39e6..., resolve pg_config from the closure, then cargo pgrx init --pg17, and build/test/package crates/ruvector-postgres with FEATURES="pg17,index-all,quant-all,all-features-v3".|nix-release-gate|none|In-shell asserts: cargo pgrx --version = 0.12.9; pg_config --version = PostgreSQL 17.10; pgrx test/package succeed
RV§15|Run full multi-plane build/test matrix|From pinned sources: cargo build/test --workspace --locked on RuVector root and crates/rvf; cargo test crates/ruvllm --locked --features inference-cuda,fused-act,parallel,ruvector-full,mmap,gguf-mmap; bun install --frozen-lockfile + build + test in RuVector npm tree and packages/ruvector (build:napi); wasm-pack build/test --node for ruvector-wasm and rvf-wasm; bun build + test:ci for agentdb and ruflo; nvidia-smi then ruvllm inference-cuda test. CI matrix also runs pg17,index-all,quant-all,graph-complete; NAPI builds outside source dirs into isolated exhaust trees; WASM into separate generated trees; x86_64-unknown-linux-musl for self-contained CLI/worker surfaces while PG/GPU/driver-linked components keep dynamic closures.|nix-release-gate|byte-capture-reconciliation|All listed commands exit 0 with locked inputs
RV§15|Capture complete build exhaust before acknowledgement|Every command's argv, environment, cwd, source digest, lockfile bytes, compiler/runtime versions, stdout, stderr, exit code, artifact bytes, Nix derivation/output paths, device inventory, and witness must return through CodeDB/envctl into PostgreSQL/RuVector before the build task is acknowledged.|byte-capture-reconciliation|codedb-ingress,envctl-committer-security|Build task ack exists only where full exhaust rows exist in lifeos_release/lifeos_blob
RV§15|Gate release via runner proof and atomic activation|flexnetos_runner consumes a signed database JobSpec and exact Nix closure, returning raw logs, NDJSON audit, test reports, artifacts, checksums, manifests, CodeDB proof manifest, witnesses, and rollback data; PostgreSQL/RuVector approves the release branch, envctl materializes it, an atomic symlink selects it, and Yazelix/Zellij reloads without destroying the user session. GitKB and meta bind source revisions, package graph, task map, drift record, release graph, and handoff.|nix-release-gate|envctl-committer-security,witness-chain|Release activation row references runner receipts, proof manifest, and rollback target; session survives reload
RV§16|Create ruvector database, extensions schema, and roles|Database is named `ruvector`; install extensions ruvector, pgcrypto, btree_gin in schema `extensions` with a guard raising if any lands elsewhere; create roles lifeos_migrator (BYPASSRLS), lifeos_security_owner (BYPASSRLS), lifeos_runtime, lifeos_envctl, lifeos_reader, lifeos_worker, lifeos_security_broker, lifeos_release (all NOBYPASSRLS), lifeos_backup (REPLICATION) with pg_read_all_data/settings grants; UUID identities database-generated, monotonic sequences, timestamptz, WAL LSN commit binding.|data-schema|postgres-ruvector-store|Extension-location DO-block passes; all nine roles exist with correct RLS/replication attributes
RV§16|Create ten lifeos schemas and full table catalog|Create schemas lifeos_blob, lifeos_semantic, lifeos_runtime, lifeos_agent, lifeos_agentdb, lifeos_rvf, lifeos_security, lifeos_coord, lifeos_release, lifeos_ops owned by lifeos_migrator, with all tables of the §16.1 catalog (blob: import_session/object/object_chunk/tree_entry/host_path/xattr/symlink/capture_event; semantic: document/ast_node/token/symbol/symbol_ref/type_record/function_record/dependency_edge/embedding/lexical_document/graph_node/graph_edge/causal_edge/transform/index_generation; runtime: session/request/request_hop/task/task_dependency/queue/lease/execution/effect/result/log_frame/error/projection/branch/branch_overlay/merge_conflict/merge_gate/promotion/inbox/outbox/reconcile_commit; agent, agentdb, rvf, security, coord, release, ops tables as cataloged). Stored objects must have inline bytes or a gap-free chunk set totaling byte_length.|data-schema|postgres-ruvector-store|All cataloged relations exist; chunk-set gap/length invariant enforced by verify_object
RV§16|Apply canonical-envelope catalog migration|Materialize every remaining catalog name via lifeos_ops.create_canonical_table with lossless typed_payload JSONB envelope and immutable raw_object_id linkage, deterministic ordering and idempotency, JSONB/traversal/record-digest/branch-sequence indexes, lifeos_ops.prevent_canonical_link_rewrite triggers, and tenant isolation across every application schema; domain migrations may promote hot envelope fields to columns without discarding either representation.|data-schema|byte-capture-reconciliation|Canonical tables carry typed_payload+raw_object_id with rewrite-prevention triggers installed
RV§16|Enforce immutability, RLS, and guard triggers|Install: RVF append-only prevent_rewrite triggers; blob prevent_object_rewrite/prevent_chunk_rewrite and enforce_object_integrity; tenant RLS policies (tenant_id = lifeos_security.current_tenant()) on all application tables plus explicit policies for object_chunk, lexical_document, request_hop, branch_overlay, witness_entry, object_observation; envelope-digest guard; tenant-reference guard triggers; embedding projection dimension trigger and append-only embedding triggers; witness_entry append-only; log_frame writer guard; execution-completion, branch-head-witness, secret-lease-grant, and release-activation guard triggers.|data-schema|witness-chain|UPDATE/DELETE on guarded tables rejected; cross-tenant reads return zero rows under runtime roles
RV§16|Create dimension-specific embedding projections and RuVector indexes|Use lifeos_semantic.create_embedding_index to create ruvector(384), ruvector(768), and model-native-dimension projection tables with HNSW indexes over ruvector_cosine_ops/l2_ops/ip_ops and ruivfflat cosine indexes so operator classes validate shape; enforce_embedding_projection validates dimensions on insert/update.|retrieval-indexing|data-schema,postgres-ruvector-store|Insert of wrong-dimension embedding rejected; HNSW/ruivfflat indexes usable in plans
RV§16|Implement runtime/security context binding|Implement lifeos_security.backend_binding, current_binding(), current_tenant(), bind_runtime_context(), and bootstrap_envctl_context() so every session operates under a bound tenant/identity context; secure secret storage via secret_object/secret_version/secret_lease with envelope encryption, key-version references, role separation, audited decryption, and zero plaintext logging.|data-schema|envctl-committer-security|Unbound session cannot pass RLS; plaintext absent from general columns and logs
RV§16|Implement stored procedures and workers|Implement lifeos_runtime.ingest_event(raw,typed,context) (stores original+typed objects, appends request/hop/capture rows, writes outbox, returns durable identity), lifeos_blob.verify_object/store_bytes/store_generated_object/load_object_bytes/canonical_jsonb_bytes, lifeos_semantic.enqueue_refresh/refresh_object, lifeos_agent.append_witness (locks chain head, verifies previous digest, advances atomically), lifeos_runtime.claim_task (FOR UPDATE SKIP LOCKED, policy/dependency gates, returns execution lease), complete_execution, create_branch/merge_branch/resolve_conflict/promote_branch (serializable + advisory locks), lifeos_security.authorize_secret/mint_secret/relay_secret/rotate_secret/revoke_secret, lifeos_release.promote (checks build/test/byte/graph/causal/security/model/forecast/witness/reconstruction gates before envctl activation), append_log_frame, and lifeos_rvf.assert_container/deferred_container_guard.|data-schema|witness-chain,cow-branching|Each function callable under its granted role and enforces its documented gate
RV§16|Lock down function grants to envctl commit capability|REVOKE EXECUTE from PUBLIC on all functions in every lifeos schema; ingest_event is revoked from lifeos_runtime and granted only to lifeos_envctl; store_bytes/load_object_bytes granted to envctl/runtime/worker/release; reader gets SELECT-only; ALTER DEFAULT PRIVILEGES revoke PUBLIC on functions/tables/sequences for lifeos_migrator.|envctl-committer-security|data-schema|Attempted ingest_event as lifeos_runtime fails; succeeds only as lifeos_envctl
RV§16|Execute the 16 ordered migrations with capture|Run migrations 0001_extensions_roles through 0016_cutover in one authenticated session with SET ROLE/RESET ROLE boundaries and dependency order (0003 semantic/request primitives before 0004 branch/witness before 0005 security before 0006 runtime execution; deferred cross-domain constraints only after both relations and tenant identities exist). Store each migration's exact bytes, tool revision, checksums, inputs, output catalog digest, logs, and witness. The Nix gate calls extensions.digest(...,'shake256') against a fixed test vector before migrations run.|data-schema|nix-release-gate,witness-chain|SHAKE256 test vector passes pre-migration; lifeos_ops.migration rows exist for 0001–0016 with digests
RV§16|Configure backup, replication, and reconstruction drills|Configure WAL archiving, streaming replicas, checksummed base backups, and scheduled PITR restore drills. A reconstruction drill restores a selected LSN, verifies extension/schema versions, rebuilds every file/tree/repository/RVF/model/configuration/release projection, compares byte hashes and semantic/graph counts, replays redb reconciliation, and records the complete receipt. Replica reads honor branch/generation consistency; only the primary issues promotion and activation decisions.|data-schema|redb-state-plane,byte-capture-reconciliation|Restore drill receipt shows byte-hash and count equality at chosen LSN
RV§17|Freeze and import all repositories (step 1)|Freeze every repository at the revision table; import commit, tree, submodule, LFS, mode, xattr, lockfile, and source bytes into the bootstrap capture ledger.|byte-capture-reconciliation|nix-release-gate|Bootstrap capture ledger contains commit/tree/lockfile bytes per pinned repo
RV§17|Provision toolchains; implement rtk_nu and redb-owner (step 2)|Provision meta graph (loop_lib, meta_plugin_protocol, meta-ruvector), lane, Yazelix/Nix/Nushell, Rust toolchains, Bun, PostgreSQL libraries, cargo-pgrx, approved ruvllm/Candle executors, optional gated ONNX Runtime, CUDA/NVIDIA, and musl linkers. Implement, package, pin, and witness the missing rtk_nu adapter and flexnetos-redb-owner service including versioned mmap projection format, atomic multi-slot publisher, permissions, event protocol, stale-reader recovery, and corruption fallback.|install-activation-order|rtk-rtk-nu-envelope,redb-state-plane|Both new components pinned and witnessed; owner survives stale-reader and corruption-fallback tests
RV§17|Install and configure PostgreSQL 17.10 (step 3)|Install PostgreSQL 17.10; configure checksums, WAL archive, replication, backup roles, TLS/socket policy, and recovery; create the `ruvector` database.|install-activation-order|nix-release-gate|pg_config --version = PostgreSQL 17.10; database ruvector exists with checksums enabled
RV§17|Install RuVector extension and verify all families (step 4)|Build and install RuVector PostgreSQL with pg17, index-all, quant-all, graph-complete, ai-complete-v3, analytics-complete, and all-features-v3; verify a real `<=>` plan and result, HNSW/IVF access methods, graph, BM25, GNN, FastGRNN, SONA, MinCut, workers, and all function families.|install-activation-order|postgres-ruvector-store|EXPLAIN of <=> query uses hnsw; each named family returns results
RV§17|Apply migrations 0001–0015 and initialize (step 5)|Apply migrations 0001 through 0015; initialize identities, RLS, tasks, byte store, semantic/index generations, COW branches, AgentDB/RVF, witnesses, security, coordination, release, backup, and restore drills.|install-activation-order|data-schema|Migration table shows 0001–0015 applied; initialization rows present
RV§17|Build and activate envctl (step 6)|Build envctl and agent-env/security binaries; activate ruvector, ruvector-pg, and authorized ruvector-cuda paths; run PostgreSQL/RuVector lifecycle detection, installation, repair, and verification.|install-activation-order|envctl-committer-security|envctl lifecycle verification passes against the live database
RV§17|Implement codedb ingest-envelope and prove commit isolation (step 7)|Implement the missing typed `codedb ingest-envelope` pipeline command and redb-owner client backend; build CodeDB/nu_plugin with redb and PostgreSQL stores; run blob-store parity; register nu_plugin_codedb through isolated Nushell configuration; prove Nu/MessagePack typed round trip, raw-byte object linkage, and `from json --objects`/`from json`/`from nuon` conversion paths. Prove plugin/agent roles cannot perform authoritative PostgreSQL writes and envctl alone holds production commit capability.|codedb-ingress|redb-state-plane,envctl-committer-security|Parity suite passes; write attempt from plugin role denied; envctl commit succeeds
RV§17|Import all host state and build derived generations (step 8)|Import ALL host repositories, files, binaries, models, configs, caches, logs, histories, metadata, secrets in protected form, and existing redb/SQLite/libSQL/ICM/AgentDB/RVF state; build AST, symbol, lexical, embedding, graph, causal, and witness generations.|install-activation-order|byte-capture-reconciliation,retrieval-indexing|Import receipts prove tree/object/byte equivalence; derived generations queryable
RV§17|Connect model runtime and prove I/O capture (step 9)|Build and connect ruvllm, RuvLTRA, SONA, RVF, AgentDB, Ruflo, ATAS, Node/NAPI, WASM, TypeScript, Bun, model weights, adapters, ONNX/Candle/CUDA paths, and device drivers; prove complete model I/O and learned-state capture.|install-activation-order|ruvllm-agentdb-rvf-integration,sona-rl|Model invocation and learned-state rows complete for a test inference
RV§17|Prove rtk/rtk_nu tee contract; build ICM and weave (step 10)|Build rtk from the pinned develop revision and the newly implemented separately pinned rtk_nu; prove raw-before-transform teeing, binary/invalid-UTF-8 framing, JSONL/Nuon parsing, native-Nu bypass, and failure preservation. Build ICM on the canonical PostgreSQL/RuVector schema; build weave and prove fenced message/job receipts.|rtk-rtk-nu-envelope|byte-capture-reconciliation,postgres-ruvector-store|Tee test shows raw frames digest-linked before compact view; weave fenced attempt receipts stored
RV§17|Build rusty-idd/hf and flexnetos_runner with proofs (step 11)|Build rusty-idd/hf after meta-ruvector; build flexnetos_runner after weave/envctl/CodeDB; prove handoff replay, signed JobSpec admission, raw logs, CodeDB proof manifest, and database-queryable receipts.|install-activation-order|envctl-committer-security,codedb-ingress|Runner rejects unsigned JobSpec; receipts queryable in lifeos_coord.runner_receipt
RV§17|Build network-control and execute controlled mutation (step 12)|Build network-control after lane; exercise JSON dry runs; execute a database-authorized controlled network mutation; capture packet/API/command bytes, plan, acknowledgement, and rollback evidence.|install-activation-order|envctl-committer-security,byte-capture-reconciliation|Dry-run plan and applied mutation with rollback evidence stored in network_plan/network_effect
RV§17|Migrate LifeOS to Tauri/Svelte Glass (step 13)|Migrate LifeOS from the current Vue checkout to Tauri/Svelte Glass; add the Rust PTY controller, embed real `yzx enter`/Zellij Engine Room, bind the sidebar to the redb-owner mmap projection plus matching commit events. Prove atomic generation publication, mapped-byte/checksum equality, stale-reader and owner-restart recovery, input/resize/output fidelity, no local HTTP live-state server, no direct concurrent redb database-file open, and the canonical CodeDB/envctl/PostgreSQL return route.|glass-engine-frontdoor|redb-state-plane,codedb-ingress|All eight step-13 proofs pass; sidebar renders from mmap generation matching commit events
RV§17|Run all release gates then promote and cut over (steps 14–15)|Run build, test, security, byte reconstruction, retrieval, graph, MinCut, learning, model, forecast, release, backup, and restore gates, storing all gate inputs and results; then PostgreSQL/RuVector promotes the winning branch, envctl materializes it, Nix produces the closure, flexnetos_runner proves it, and atomic symlink activation plus Yazelix/Zellij session-preserving reload completes cutover. Authority gates remain sequential: PostgreSQL/RuVector health → canonical schema → CodeDB byte parity → full import → cognition/model runtime → executors and coordination → LifeOS → release activation; work within a level may run concurrently.|install-activation-order|nix-release-gate,cow-branching,envctl-committer-security|Every gate result stored; cutover completes without destroying the user session
RV§18|Conform to the authority/control routing topology|Wire the bidirectional graph exactly: Glass↔Tauri PTY↔yzx enter/Zellij; LifeOS control → complete CodeDB request envelope → redb owner → envctl → PostgreSQL authorization → controlled dispatch; legacy raw output → rtk_nu byte-exact tee (lossless raw frames + digest identity, plus rtk compact view); native Nu values bypass RTK; Nushell typed values → required codedb ingest-envelope child → redb single owner → (ordered local event/snapshot → sidebar) and (envctl validation → envctl-only codedb-store-pg → PostgreSQL); PostgreSQL → envctl-controlled projection → redb owner → mmap/event → Glass and Engine; granted typed read/query to Nushell; every raw byte, effect, result, ack, and witness returns to PostgreSQL. envctl holds the only authoritative write capability.|glass-engine-frontdoor|redb-state-plane,envctl-committer-security,rtk-rtk-nu-envelope,codedb-ingress|Trace of a command shows each hop in order; no write path to PG exists except through envctl
RV§19|Implement capture-before-transform with full identifiers|Capture begins before parsing, normalization, compression, summarization, token reduction, embedding, quantization, execution, or display; every raw event receives tenant, session, request, hop, branch, sequence, identity, time, environment, and idempotency identifiers; original bytes stored inline or as ordered non-overlapping chunks; zero-length objects are explicit records; streams use ordered frames retaining framing/timing; typed forms (MessagePack, JSON, Nuon, rows, ASTs, symbols, embeddings, vectors, graphs, tokens, summaries) are separate linked objects.|byte-capture-reconciliation|data-schema|Raw object row precedes any derived record for the same event; identifiers complete
RV§19|Capture commands, files, and models to full fidelity|Commands store executable, per-argument byte objects, cwd, complete environment projection, stdin/stdout/stderr, binary descriptors, signals, exit code, duration, filesystem/network/device effects, and toolchain identity. Files store path bytes, filename encoding, content, mode, owner, ACL, xattrs, timestamps, symlink target, sparse ranges, hard-link identity, tree position, repository object, and materialization generation. Models store weights, tokenizer, configuration, adapters, SONA state, every cache byte, inputs, outputs, routes, device/kernel/driver identity, and performance records.|byte-capture-reconciliation|data-schema|Sampled command/file/model records contain every contracted field
RV§19|Commit atomically; record every state change as event|The PostgreSQL transaction commits byte objects, domain rows, outbox events, and witness linkage atomically; consumers acknowledge only the committed identity. Every queue claim, retry, lease renewal, partial output, crash, denial, conflict, and rollback is an event rather than an overwritten field. Each transform records exact input object/range, code/tool revision, parameters, environment, random seed, output object, error, resource use, and witness. Each import/export proves tree/object/byte/mode/symlink/metadata/semantic/graph/record equivalence with differences as explicit transformation records.|byte-capture-reconciliation|witness-chain,data-schema|No UPDATE-in-place on event fields; transform and import/export receipts complete
RV§19|Restrict compaction to acknowledged projections|redb stores the live logical record and application WAL while PostgreSQL stores the complete reconciled representation and commit linkage; cache eviction changes local presence only after durable capture. Secret plaintext stays inside its exact authorized target and lease and never leaks into broad capture surfaces. Lifecycle policy compacts or removes only acknowledged external and local projections; canonical PostgreSQL bytes, protected secret bytes, histories, lineage, custody records, and witnesses remain durably present and reconstructable.|byte-capture-reconciliation|redb-state-plane,envctl-committer-security|Compaction refuses unacknowledged projections; canonical rows never deleted
RV§20|Project weave, network-control, and rusty-idd into PostgreSQL|weave delivers tmux/Zellij/kitty/wezterm/screen injection, peers, presence, durable messages, asks, fenced job attempts, receipts, MCP, and runner dispatch with PostgreSQL storing authoritative message/job/attempt state; network-control mutations are gated by database policy and leases with plan/apply/rollback; rusty-idd/hf's redb ledger is a replayable local boundary whose complete ledger projects into PostgreSQL/RuVector.|other|postgres-ruvector-store,envctl-committer-security|weave_message/weave_job/idd_ledger_event rows match local ledgers exactly
RV§20|Migrate ICM onto canonical RuVector schema|ICM's PostgreSQL path must use the canonical RuVector schema and operators; imported ICM database records (originally pgvector `vector` rows) retain original row bytes and are converted into `ruvector` embeddings with transformation provenance, queried through canonical RuVector operators.|other|postgres-ruvector-store,byte-capture-reconciliation|ICM queries execute via ruvector operators; original row bytes plus conversion lineage stored
RV§20|Run RuVix/rvAgent under database tasks|RuVix and rvAgent (capability-gated cognition-kernel scheduling, regions, queues, proofs, HAL/drivers, agent backends, middleware, tools, subagents, ACP, MCP, WASM, A2A) execute under database tasks and write RVF/witness results.|other|witness-chain,ruvllm-agentdb-rvf-integration|RuVix/rvAgent executions appear as task rows with RVF/witness outputs
RV§20|no action — descriptive/constraint|Expansion components (ACORN, DiskANN, LSM-ANN, RAIRS, Matryoshka, PQ, RaBitQ, SPANN, MaxSim, temporal coherence, perception, graph condensation, graph transformers, delta consensus, TimesFM, PhotonLayer, Hailo, FPGA, mmWave, robotics, decompiler, verified runtimes) extend retrieval/inference/hardware/temporal/proof/execution paths but must never create new truth planes; Ruflo neural/memory packages connect their RL algorithms to the same task/branch/witness records; LifeOS planning spine, envctl Kasetto/agent-env, CodeDB capture, runner dispatch, GitKB, meta, beads/br, command ledger, and handoffs complete the front-door-to-release loop.|other|postgres-ruvector-store|TBD
