RV§1|no action — descriptive/constraint|Ecosystem map: PostgreSQL+RuVector owns bytes, records, vectors, graphs, policies, tasks, branches, cognition, promotion, recovery; ruvnet crates supply Rust/PostgreSQL/NAPI/WASM/model/agent/RVF surfaces; FlexNetOS supplies front door, typed ingress, buffering, security, coordination, controlled execution.|other|none|TBD
RV§2|Build named binaries with required features|Build ruvector-timesfm-forecast (requires feature candle, in ruvector-timesfm 2.2.4), mcp-brain-server-local (requires feature local), ruvllm-embedder (mcp-brain-server bin), ruvllm-bridge, ruvllm-pi-worker, ruvector-hailo-embed, ruvector-hailo-worker, ruvector-hailo-stats, ruvector-mmwave-bridge (ruvector-hailo-cluster bins; Hailo/mmWave device closures), plus WASM surfaces via wasm-bindgen/wasm-pack and Node surfaces via napi-rs.|nix-release-gate|ruvllm-agentdb-rvf-integration|cargo build with the stated required feature per target succeeds
RV§2|Migrate LifeOS to Svelte Glass release target|LifeOS current checkout is Vue/Tauri (src-tauri, lifeos-core, lifeos-daemon, lifeos-vue; Vue 3, Vite, Pinia, Tauri 2, Bun 1.3.14); the target/release gate adds Svelte Glass, a PTY controller, the yzx enter lifecycle/attach contract, and a redb-owner event client.|glass-engine-frontdoor|redb-state-plane|release gate: Glass with embedded Yazelix PTY operational
RV§2|Build CodeDB workspace binaries|Build the nu_plugin/CodeDB workspace (codedb, codedb-cargo, codedb-context, codedb-core, codedb-fixtures, codedb-build-capture, codedb-mcp, codedb-rust-static, codedb-store-redb, codedb-store-pg, nu_plugin_codedb) producing bins codedb, codedb-mcp, and nu_plugin_codedb against Nu 0.113.1 with redb/PostgreSQL stores.|codedb-ingress|redb-state-plane,postgres-ruvector-store|three bins build and nu_plugin_codedb registers with Nu 0.113.1
RV§2|Build envctl workspace binaries|Build the envctl workspace (agent-env, engine, cli, gui, secrets-engine, secrets-proto, secretd, secretctl, secrets-store-libsql) producing bins envctl, envctl-gui, secretd, and secretctl with redb 4.1 and RuVector feature bundles.|envctl-committer-security|postgres-ruvector-store,redb-state-plane|four bins build; envctl --version reports 0.1.0
RV§3|Install RuVector extension with pg17 feature|Build the RuVector PostgreSQL extension with pgrx and install it inside PostgreSQL with no vector, graph, or cognitive sidecar; the extension supports PostgreSQL 14/15/16/17 builds and this architecture installs the pg17 feature.|postgres-ruvector-store|install-activation-order|SELECT ruvector_version() succeeds; extension present in schema extensions
RV§3|Enable full-installation feature selection|The full installation builds with pg17, SIMD, storage, HNSW, API, parallelism, real embeddings, UUID support, learning, attention, GNN, routing, gated transformer, hyperbolic, sparse, graph, solver, math, and TDA paths, selected from the exact feature vocabulary (pg14–pg17; simd-*; index-hnsw/ivfflat/all; quantization-*; learning/attention/gnn/hyperbolic/sparse/graph/routing/embeddings; gated-transformer/solver/math-distances/tda/attention-extended/sona-learning/domain-expansion; ai-complete/graph-complete/all-features bundles).|postgres-ruvector-store|none|feature-gated build succeeds and installed function set matches selection
RV§3|Store golden manifest of installed SQL surface|Feature gates select the installed subset of the 346 #[pg_extern]-annotated function definitions (344 unique identifiers; dag_export_state and dag_import_state each overloaded twice) across 43 files; the generated golden manifest of the installed subset is stored with each release.|postgres-ruvector-store|nix-release-gate|pg_proc function list matches the stored golden manifest
RV§3|Verify operators, opclasses, and access methods|Confirm distance operators <-> (L2), <=> (cosine), <#> (negative inner product), + and - vector arithmetic; L1 only via ruvector_l1_distance() (no <+> operator exists); operator classes ruvector_l2_ops, ruvector_cosine_ops, ruvector_ip_ops plus sparse/array classes; index access methods hnsw and ruivfflat with ruhnsw_* diagnostics and scan/build/cost/maintenance/parallel/health/adaptive-probe/statistics hooks.|postgres-ruvector-store|none|catalog checks of pg_operator, pg_opclass, and pg_am
RV§3|Verify shipped SQL artifact contents|The 1,300-line ruvector--0.3.0.sql artifact must emit 190 named SQL functions, the ruvector varlena type, six scalar/operator surfaces, the vector_sum aggregate, the hnsw and ruivfflat access methods, and cosine/L2/inner-product operator classes; ruvector--2.0.0.sql must emit 101 named functions.|postgres-ruvector-store|none|count named functions in installed SQL artifacts against 190 and 101
RV§3|Create canonical runtime tables via migrations|Project-owned canonical runtime tables are created by the migrations defined in subsection 16, built around the extension rather than inside it.|data-schema|postgres-ruvector-store|migrations apply cleanly and the canonical tables exist
RV§4|Implement unified database-local retrieval plan|Wire retrieval as one database-local plan: identity+tenant+branch+authorization+JSONB metadata predicate → lexical BM25 set → dense/sparse/hyperbolic/late-interaction vector sets → HNSW/ACORN/DiskANN/LSM-ANN/IVF/PQ/RaBitQ execution → reciprocal-rank, relative-score, calibrated fusion → GNN/attention/causal/cross-encoder reranking → exact byte objects plus AST/symbol/dependency context, provenance, witnesses.|retrieval-indexing|postgres-ruvector-store,witness-chain|end-to-end retrieval query returns byte objects with provenance and witnesses
RV§4|Create metadata-first filter indexes|Create B-tree and GIN indexes constraining repository, crate, language, record kind, branch, visibility, policy, commit, path, time, symbol kind, build, agent, and lease before similarity work; ACORN and capability-gated indexes carry filter predicates into ANN traversal.|retrieval-indexing|data-schema|EXPLAIN shows metadata predicates applied before similarity execution
RV§4|Configure lexical BM25 retrieval|Configure PostgreSQL tsvector/GIN and RuVector sparse BM25 (pg_sparse_bm25) storing terms, field lengths, weights, and analyzer provenance so exact identifiers, diagnostics, paths, compiler errors, and rare symbols remain retrievable without semantic dilution.|retrieval-indexing|postgres-ruvector-store|exact-identifier lexical query returns the expected record
RV§4|Configure tiered vector indexes per workload|Configure the hnsw access method as the default hot semantic index (diagnostics via ruhnsw_*); DiskANN/SPANN for disk scale; LSM-ANN for high-write agent memory; Matryoshka and PQ/RaBitQ for compute/storage reduction; IVFFlat for bulk partitions; support cosine, dot-product, L2, L1, sparse, binary/scalar/product quantized, and MaxSim similarity.|retrieval-indexing|postgres-ruvector-store|per-workload index type present; ruhnsw_stats reports healthy index
RV§4|Implement hyperbolic hierarchy retrieval|Represent repository, type, dependency, task, and agent hierarchies as Poincaré and Lorentz embeddings; use Möbius addition and exponential/log maps to preserve hierarchy during updates and reranking.|retrieval-indexing|postgres-ruvector-store|ruvector_poincare_distance queries return hierarchy-consistent neighbors
RV§4|Persist fusion configuration and ranking state|Retain component scores for BM25, dense, sparse, hyperbolic, graph, MaxSim, attention, and recency signals; store fusion configuration, normalization, query plan, retrieval-set membership, discarded results, and final ranking.|retrieval-indexing|data-schema|a past query's ranking is reconstructable from stored state
RV§4|Record per-generation embedding provenance|Each embedding must reference exact input object/chunk ranges, AST/symbol identity, preprocessing, model digest, tokenizer, dimensions, dtype, quantizer, adapter, SONA state, device, parameters, timestamps, and witness entry; a model update creates a new embedding generation rather than overwriting lineage.|retrieval-indexing|witness-chain,data-schema|provenance join resolves for every embedding row; old generation preserved after model update
RV§4|Wire semantic IDE retrieval in one snapshot|Join file/repository/workspace/crate/module/AST/symbol/function/type/call/diagnostic/test/build/documentation retrieval directly to byte-complete objects; definition, reference, call hierarchy, dependency impact, semantic diff, breakage prediction, and edit context execute within the same transaction snapshot.|retrieval-indexing|codedb-ingress,postgres-ruvector-store|single-transaction IDE query test spans definition-to-bytes join
RV§4|Wire index-maintenance background workers|Ingress enqueues lexical, embedding, graph, and index refresh work; background workers claim database leases, build derived records, validate coverage and recall, attach witnesses, and atomically advance the active generation; old generations remain reconstructable.|retrieval-indexing|witness-chain,postgres-ruvector-store|generation advance is atomic and a prior generation reconstructs
RV§5|Model typed graph plane schema|Store typed nodes for repositories, commits, trees, files, chunks, AST elements, symbols, types, crates, packages, build units, tests, tasks, agents, prompts, models, adapters, secrets, executions, artifacts, releases, forecasts, and witnesses, with typed edges for containment, definition, reference, call, import, dependency, build input, generated-from, transformed-by, executed-by, authorized-by, caused, observed, failed-with, repaired-by, supersedes, belongs-to-branch, promoted-from, and attested-by.|graph-gnn-causal|data-schema|node/edge type catalog matches the blueprint enumeration
RV§5|Wire ruvector-graph query surfaces|Wire ruvector-graph to supply property graph storage, Cypher, RDF, SPARQL, adjacency, shortest path, weighted path, and dynamic updates.|graph-gnn-causal|postgres-ruvector-store|ruvector_cypher and ruvector_sparql queries succeed over the graph plane
RV§5|Wire GNN learning with training lineage|Wire ruvector-gnn, GraphSAGE, GCN, message passing, attention, graph transformers, and GNN reranking to learn local and global structure while retaining exact source and training lineage.|graph-gnn-causal|retrieval-indexing|ruvector_gnn_train run records source and training lineage
RV§5|Wire FastGRNN/Tiny Dancer routing|Wire FastGRNN/Tiny Dancer to route requests, contexts, models, tools, agents, and escalation tiers from low-cost recurrent state.|graph-gnn-causal|sona-rl|ruvector_route returns an agent from the registered set
RV§5|Record causal graph and wire causal traversal|Record interventions, observations, temporal order, dependency direction, justification paths, recall certificates, and counterfactual branch results; causal traversal must power breakage prediction, code-edit verification, dependency verification, and root-cause isolation.|graph-gnn-causal|witness-chain,cow-branching|causal traversal isolates root cause on a seeded test case
RV§5|Run dynamic MinCut failure isolation|Run RuVector MinCut subpolynomial dynamic minimum-cut over changing dependency, task, memory, model, and failure graphs to isolate failure domains, hallucination/drift boundaries, compromised or ungrounded endpoints, unstable release regions, and toxic feedback loops.|graph-gnn-causal|none|ruvector_mincut isolates a seeded failure domain
RV§5|Wire condensation, sparsification, and gated inference|Apply graph condensation and sparsification that retain cut structure while reducing execution cost; use ruvector-attn-mincut and gated transformers to restrict expensive inference to high-value connected regions.|graph-gnn-causal|none|gated_transformer_gate_decision limits inference to gated regions
RV§5|Wire self-healing graph repair loop|Deploy self-healing workers that detect disconnected, stale, contradictory, or weakly grounded regions; propose repair edges; replay affected paths; validate witnesses; and merge repairs through branch gates.|graph-gnn-causal|cow-branching,witness-chain|healing worker repairs a seeded inconsistency via a branch gate
RV§5|Implement cut-based safe task partitioning|Use cut boundaries and dependency direction to allocate non-overlapping work to agents, forming the failure isolation, repair, replay, and promotion loop (swarm immune-system behavior).|graph-gnn-causal|cow-branching|partition assignment yields non-overlapping agent scopes
RV§5|Attach mandatory identifiers to all nodes/edges|Every node and edge carries tenant, branch, generation, source object, source range, relation type, weight, causal direction, creator execution, valid-time, transaction-time, policy, and witness identifiers; deleting a projection never deletes its source bytes or historical edge generations.|graph-gnn-causal|data-schema,witness-chain|constraint audit; projection-delete test preserves source bytes and history
RV§6|Create lifeos_runtime.branch table|lifeos_runtime.branch records parent branch, base commit LSN, creator, purpose, policy, model/adapters, and branch kind.|cow-branching|data-schema|table exists with all required columns
RV§6|Create branch_overlay table|branch_overlay records table, logical key, operation, base row digest, replacement row bytes/JSONB, and ordered change sequence.|cow-branching|data-schema|overlay write test records ordered change sequence
RV§6|Implement branch resolution views|Branch views resolve overlay → nearest ancestor → canonical base at a single MVCC snapshot; original byte objects remain content-addressed and referenced from every branch without duplication.|cow-branching|postgres-ruvector-store|branch view query returns correct overlay precedence at one snapshot
RV§6|Route branch-scoped writes to overlays only|Agent proposals, isolated refactors, prompt variants, package variants, generated configuration trials, build/test branches, simulated future branches, and release-candidate branches write only to their overlay and branch-scoped derived generations.|cow-branching|none|canonical base rows unchanged after branch writes
RV§6|Write immutable gate results against branch head|Build, test, static analysis, forecast, security, causal, dependency, byte-reconstruction, and witness gates write immutable results against the exact branch head.|cow-branching|witness-chain|gate result rows are immutable and pinned to the branch head
RV§6|Implement merge with conflict records and witness|Merge computes key, byte, AST, semantic, graph, policy, and release conflicts; conflict records preserve both inputs and resolution bytes; a serializable transaction applies the accepted overlay, advances the parent generation, and appends a SHAKE256 witness.|cow-branching|witness-chain|merge test produces conflict record plus appended witness in one serializable transaction
RV§6|Implement gated promotion and rollback pointers|Winning-timeline promotion changes the active branch pointer only after every gate succeeds; atomic activation follows database promotion; rollback changes the pointer to a prior witnessed generation and re-materializes its exact projections.|cow-branching|nix-release-gate,witness-chain|rollback test re-materializes a prior generation byte-perfect
RV§6|Mirror branch membership into RVF and round-trip|RVF COW_MAP and MEMBERSHIP segments mirror branch membership for portable agents; AgentDB and RVF round-trip their overlays to the PostgreSQL branch rows before execution acknowledgement.|cow-branching|ruvllm-agentdb-rvf-integration|overlay round-trip completes before execution ack
RV§7|Install AgentDB 3.0.0-alpha.18 RVF-first backend|Install AgentDB 3.0.0-alpha.18 as the active cognition surface: RvfBackend, semantic routing, SONA, temporal compressor, contrastive training, federated sessions, causal memory, MinCut, GNN/attention, adaptive solvers, Reflexion, SkillLibrary, NightlyLearner, and recall certificates, with retrieval feedback identifiers connecting each memory result to quality, reward, failure, and learned projection updates.|ruvllm-agentdb-rvf-integration|postgres-ruvector-store,sona-rl|AgentDB version check; feedback identifiers link memory results to updates
RV§7|Project all 24 AgentDB native table families|Preserve the memory family (episodes, episode_embeddings, skills, skill_links, skill_embeddings, facts, notes, note_embeddings, events, consolidated_memories), experience graph (exp_nodes, exp_edges, exp_node_embeddings, memory_scores, memory_access_log, consolidation_runs), and causal/learning frontier (causal_edges, causal_experiments, causal_observations, recall_certificates, provenance_sources, justification_paths, learning_experiences, learning_sessions) in the relational projection.|ruvllm-agentdb-rvf-integration|data-schema|all 24 table families present in the canonical schema
RV§7|Import AgentDB definitions with verified object counts|Import AgentDB source indexes, triggers, views, row bytes, change history, and .rvf serialization into the canonical PostgreSQL schemas; the native memory schema contributes 16 tables, 34 indexes, 4 triggers, 3 views and the causal/learning frontier 8 tables, 21 indexes, 2 triggers, 5 views; every definition and row maps into canonical migrations with authority object, tenant, branch, generation, execution, provenance, and witness identifiers.|byte-capture-reconciliation|data-schema,witness-chain|object-count audit matches 16/34/4/3 and 8/21/2/5
RV§7|Enforce AgentDB vs PostgreSQL ownership split|AgentDB retains active memory, agent-specific state, SONA matrices, MicroLoRA adapters, FastGRNN routing graphs, witness chains, RL state, versions, signatures, and portable identity while PostgreSQL/RuVector controls tasks, policy, branches, promotion, and durable ownership.|ruvllm-agentdb-rvf-integration|cow-branching,postgres-ruvector-store|Audit: branch/promotion pointer changes originate only from lifeos_runtime/lifeos_release procedures; .rvf containers carry no durable-ownership rows
RV§7|Store complete .rvf containers with projections and receipts|For each RVF container store the complete .rvf file as chunked bytea with SHA-256 and SHAKE256 identities; header, manifest, generation, parent generation, segment directory, offsets, lengths, checksums, alignment, compression/quantization metadata; every segment's original bytes plus decoded relational/vector/graph/model/adapter/branch/witness/signature projections; signatures, signers, trust chain, import/export execution, device, tool revision, policy, verification result; and round-trip reconstruction receipts proving exported .rvf bytes equal the selected generation.|byte-capture-reconciliation|ruvllm-agentdb-rvf-integration,witness-chain|export/reimport digest-equality receipt exists per container
RV§7|Implement RVF container format contract|Implement RVF as the portable single-file cognitive container using 64-byte alignment, 24 segment kinds, progressive HNSW layers, quantized sections, COW_MAP, MEMBERSHIP, WITNESS_SEG, and CRYPTO segments, append-only generations, and two-fsync recovery, built from the detached workspace (rvf-types 0.2.1, rvf-runtime 0.3.0, rvf-index/quant/crypto 0.2.0, wire, manifest, kernel, Node, WASM, server, import, launch, eBPF, CLI, federation, solver, adapters for Ruflo/AgentDB/OSpipe/agentic-flow/rvlite/SONA).|ruvllm-agentdb-rvf-integration|none|rvf-integration-tests pass including two-fsync crash recovery
RV§8|Deploy shared frozen foundation model|Map one shared frozen foundation model once and serve multiple agents with per-agent KV-cache, MicroLoRA, SONA, routing, memory, and policy state, giving VRAM-efficient multi-agent execution with stable model identity across comparisons.|ruvllm-agentdb-rvf-integration|sona-rl|multi-agent sharing check; model digest stable across agents
RV§8|Build ruvllm with required features and device path|Build ruvllm with default features async-runtime, candle, routing-metrics, quantize, hub-download; integrated builds additionally enable attention, graph, gnn, ruvector-full, parallel, mmap, gguf-mmap, fused-act, and the selected device path (inference-cuda, inference-metal, metal-compute, coreml, or hybrid-ane); runtime paths include Candle CPU/SIMD, Candle CUDA, ONNX/ort, GGUF mmap, CUDA fused activation, Metal/ANE, NAPI, WASM, sparse attention, retrieval diffusion, and Hailo edge workers.|ruvllm-agentdb-rvf-integration|nix-release-gate|cargo build of ruvllm with the stated feature list succeeds
RV§8|Configure RuvLTRA model profiles|Configure RuvLTRA-Small as the 494M-parameter/32K-context profile and RuvLTRA-Medium as the 3B/256K profile; Ruflo and ATAS use them for proportional-intelligence routing and global temporal forecasting.|ruvllm-agentdb-rvf-integration|ruflo-ruvltra-atas|both profiles load and serve a smoke inference
RV§8|Configure quantization and cache controls|Configure TurboQuant, scalar/product/binary quantization, 2-bit and 4-bit KV-cache quantization, H2O/PyramidKV, paged attention, X-LoRA, and ISQ to control memory and throughput.|ruvllm-agentdb-rvf-integration|none|memory/throughput benchmark under the quantized configuration
RV§8|Wire database-approved MicroLoRA hot-swap|MicroLoRA adapters hot-swap by database-approved agent, task, domain, branch, and generation.|ruvllm-agentdb-rvf-integration|cow-branching,sona-rl|adapter swap is gated by a database approval record
RV§8|Capture every inference and embedding byte-complete|Store for every inference the exact prompt/message bytes, system/tool context, retrieved byte ranges, tokenized input, tokenizer/model/weight digest, quantization, adapter and SONA generation, FastGRNN route, AgentDB/RVF generation, random seed, sampling parameters, attention/cache configuration, device/driver/kernel identity, input/output tensors, output token stream, decoded bytes, tool calls, costs, timing, errors, and witness linkage; local embedding generation follows the same capture contract.|byte-capture-reconciliation|witness-chain,postgres-ruvector-store|a stored inference row replays deterministically from captured state
RV§9|Implement SONA learning stack without base mutation|Implement SONA (Self-Optimizing Neural Architecture) combining BaseLoRA, MicroLoRA, EWC++, a trajectory buffer, ReasoningBank, instant learning, background consolidation, and Rust/NAPI/WASM execution, learning from database-grounded episodes without mutating the frozen base model.|sona-rl|ruvllm-agentdb-rvf-integration|base model digest unchanged after a learning cycle
RV§9|Wire the full RL learning loop|Wire: captured request+route+retrieval+inference+execution+result → reward/quality/safety/cost/latency/success-threshold/failure-pattern → Thompson Sampling / Q-Learning / SARSA / DQN / A2C / PPO / Decision Transformer / Curiosity / REINFORCE updates → SONA matrix + MicroLoRA delta + FastGRNN route + ranking-policy branch → replay, causal, MinCut, witness, build, and task evaluation → database-controlled promotion or rollback.|sona-rl|cow-branching,witness-chain,graph-gnn-causal|a loop run produces a recorded promotion or rollback decision
RV§9|Configure RL algorithm roles with database caps|Thompson Sampling selects routes and tools with safety Beta distributions and cost/latency estimates; Q-Learning, SARSA, DQN learn action values; PPO and A2C update bounded policies; Decision Transformer learns trajectories; Curiosity and REINFORCE expand exploration while database constraints cap impact; FastGRNN provides low-latency recurrent context and proportional-intelligence routing.|sona-rl|graph-gnn-causal|exploration test confirms database constraint caps are enforced
RV§9|Version all learning outputs by branch|Performance-based ranking changes, success thresholds, failure-pattern learning, adapter updates, policy matrices, and promotion decisions are versioned by branch.|sona-rl|cow-branching|branch-scoped learning versions are queryable
RV§9|Persist RL state with witnessed pointer activation|PostgreSQL/RuVector stores each episode, observation, action, reward component, return, advantage, probability, value estimate, gradient/delta, EWC constraint, matrix/tensor, adapter bytes, route, replay result, promotion gate, rollback, and witness; a learned state becomes active only through a witnessed database pointer update and earlier states remain replayable.|sona-rl|witness-chain,postgres-ruvector-store|activation occurs only via witnessed pointer update; prior state replays
RV§10|Attach witness record to every event|Every source assertion, retrieved context, model claim, code edit, dependency conclusion, graph edge, task result, package output, build artifact, release, adapter update, and promotion carries a cryptographic witness whose chain record includes sequence, previous SHAKE256, event kind, tenant, branch, request, execution, source object/chunk/range, vector/graph identities, input digest, output digest, tool/model/adapter revision, policy, time, signer, and signature.|witness-chain|data-schema|sampled event rows contain the complete chain record fields
RV§10|Compute canonical SHAKE256 witness digest|The canonical witness digest is SHAKE256 over a domain-separated canonical encoding of the record and every referenced byte digest.|witness-chain|none|recomputed digest matches the stored witness digest
RV§10|Dual-carry witness chain in RVF and PostgreSQL|RVF WITNESS and CRYPTO segments carry the portable chain; PostgreSQL rows carry the authoritative sequence, source-vector linkage, causal lineage, signatures, verification outcome, and full referenced bytes.|witness-chain|ruvllm-agentdb-rvf-integration,postgres-ruvector-store|RVF chain and PostgreSQL chain equivalence check
RV§10|Implement claim verification against source bytes|Claim verification resolves every endpoint to stored source bytes, checks object and vector identities, traverses causal and dependency edges, replays transformations, and rejects ungrounded graph endpoints.|witness-chain|graph-gnn-causal,byte-capture-reconciliation|a seeded ungrounded claim is rejected by verification
RV§10|Implement code-edit and dependency verification|Code-edit verification reconstructs before/after bytes, AST and symbol diffs, tests, compiler output, and branch provenance; dependency verification checks the exact lockfile, crate/package, feature, build, binary, and release closure; tamper evidence, replayable audit history, and complete provenance extend from initial ingress through release activation.|witness-chain|codedb-ingress,nix-release-gate,cow-branching|edit and dependency verification pass on a test change
