occurrence_id,source_scope,source_path,line,column,keyword,classification,capability_ids,work_order_refs,reference_refs,classification_reason,source_text
LANG-0011,reference-package,execution-framework/docs/FILESYSTEM_BOUNDARIES.md,49,27,must,mandatory_capability,CAP-MIG-019,TASK-CDB010;TASK-CDB018;TASK-CDB028;TASK-CDB032;TASK-CDB033;TASK-CDB034;TASK-CDB043;TASK-CDB044;TASK-CDB045;TASK-CDB057;TASK-CDB083;TASK-CDB104,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",- Logs and proof evidence must be redacted using helpers/redaction_patterns.txt before capture.
LANG-0012,reference-package,execution-framework/docs/FILESYSTEM_BOUNDARIES.md,50,21,must,mandatory_capability,CAP-MIG-019,TASK-CDB010;TASK-CDB018;TASK-CDB028;TASK-CDB032;TASK-CDB033;TASK-CDB034;TASK-CDB043;TASK-CDB044;TASK-CDB045;TASK-CDB057;TASK-CDB083;TASK-CDB104,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",- Symlink traversal must be evaluated against the final resolved path and denied when it escapes the matched allowed root.
LANG-0013,reference-package,execution-framework/docs/GAP_ANALYSIS.md,88,128,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","- Recommended fix: Return upgraded archive for upload/apply to Drive, and document that authenticated Drive edit/revision APIs must apply it in Drive."
LANG-0014,reference-package,execution-framework/docs/GOAL_LOOP_PROTOCOL.md,21,19,must,mandatory_capability,CAP-MIG-021,TASK-CDB003;TASK-CDB039;TASK-CDB065;TASK-CDB068,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",- Parallel groups must respect `can_run_parallel` and `max_parallel`.
LANG-0015,reference-package,execution-framework/docs/GOAL_LOOP_PROTOCOL.md,25,44,should,mandatory_capability,CAP-MIG-021,TASK-CDB003;TASK-CDB039;TASK-CDB065;TASK-CDB068,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",- Execution packets are bounded; no packet should require rereading the full package.
LANG-0016,reference-package,execution-framework/docs/INSTALL_BOOTSTRAP.md,52,14,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Every helper must produce the task proof named by its packet before dependent work advances.
LANG-0017,reference-package,execution-framework/docs/NEXT_SESSION_PROMPT.md,59,47,must,non_normative_evidence,,,,Reference-only evidence or an open question; it cannot authorize execution or satisfy a LifeOS human gate.,"- If the reviewer denies approval, the denial must include proof and exact instructions for what must change before execution continues."
LANG-0018,reference-package,execution-framework/docs/NEXT_SESSION_PROMPT.md,59,98,must,non_normative_evidence,,,,Reference-only evidence or an open question; it cannot authorize execution or satisfy a LifeOS human gate.,"- If the reviewer denies approval, the denial must include proof and exact instructions for what must change before execution continues."
LANG-0019,reference-package,execution-framework/docs/NEXT_SESSION_PROMPT.md,61,13,must,non_normative_evidence,,,,Reference-only evidence or an open question; it cannot authorize execution or satisfy a LifeOS human gate.,"- goal_loop must reject approvals unless the review artifact exists, the approval proof exists, checksums match, fallback reason is present when Claude Opus was unavailable, and approval/review artifacts are in Git's index."
LANG-0020,reference-package,execution-framework/docs/OPERATION_STATE_MACHINE.md,34,32,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",- `R3` through `R5` operations must enter `approved` before `running`.
LANG-0021,reference-package,execution-framework/docs/RUN_REPLAY.md,80,83,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",| `replay-apply-blocked-check` | Exercise the high-risk replay path in a way that must remain blocked until an operator approval exists. |
LANG-0022,reference-package,execution-framework/docs/SHARED_PROTOCOL_SCHEMAS.md,13,16,may,compatibility_or_state_semantics,CAP-MIG-020,,,"The wording defines a nullable, permission, or backward-compatible state whose handling is mandatory rather than a deferred feature.","Minor versions may add optional fields; removals, type narrowing, and enum removal require a new major protocol version."
LANG-0023,reference-package,execution-framework/docs/SHARED_PROTOCOL_SCHEMAS.md,13,24,optional,compatibility_or_state_semantics,CAP-MIG-020,,,"The wording defines a nullable, permission, or backward-compatible state whose handling is mandatory rather than a deferred feature.","Minor versions may add optional fields; removals, type narrowing, and enum removal require a new major protocol version."
LANG-0024,reference-package,execution-framework/generated/issue-414/task_graph.csv,9,1249,optional,mandatory_capability,CAP-MIG-027,,reference-issue-414:REQ-057_WATCH_INCREMENTAL,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.","REQ-057_WATCH_INCREMENTAL,GH-414,05-envctl-db-upgrade,Incremental index invalidation (watch),envctl db watch --repo-root: notify-based incremental index invalidation with poll fallback and inotify-limit awareness,lane_b_repo_a,envctl-db-upgrade-agent,helper-req-057_watch_incremental,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,prompts/ISSUE_ENVCTL.md|specs/envctl-nu-plugin-boundary.md|GH-issue-414|crates/engine/src/db_index.rs,crates/engine/src/db_index.rs|crates/cli/src/main.rs,envctl db watch command,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-052_FILE_INDEX,,db_upgrade_watch,true,2,,140,pending,05-envctl-db-upgrade,codex|python3|shell|cargo,codex exec < generated/issue-414/execution_packets/REQ-057_WATCH_INCREMENTAL.json,cargo test -p envctl-engine db_watch,watch invalidates only changed file rows; poll fallback documented,true,execution-framework/proof_records/REQ-057_WATCH_INCREMENTAL.proof.json,execution-framework/heartbeats/REQ-057_WATCH_INCREMENTAL.heartbeat,execution-framework/logs/REQ-057_WATCH_INCREMENTAL.log,git restore + envctl catalog sync --dry-run (fail-closed; exports write new trees),R2,false,Optional/poll fallback where useful; large-dir/inotify limits handled."
LANG-0025,reference-package,execution-framework/generated/task_graph.csv,67,122,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","ART-136_TECH_DEBT_LEDGER,ARTIFACTS,05-artifacts,Build Technical debt ledger,Generate and register Technical debt ledger: must-fix vs carry vs delete debt.,lane_d_filesystem,artifact-agent,helper-artifact-37,gpt-5.3-spark,codex-cli-background-shell,workspace-write,filesystem,${MIGRATION_TARGET_ROOT},target-filesystem,target descriptor|repo scan|envctl database,migration-artifacts/**,migration-artifacts/art-136_tech_debt_ledger/*.md|migration-artifacts/art-136_tech_debt_ledger/*.json,${MIGRATION_TARGET_ROOT}/**|migration-artifacts/**|execution-framework/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-024_ENVCTL_ARTIFACT_REGISTRY|REQ-040_SHARED_PROTOCOL_SCHEMAS,VER-300_UNIT_VALIDATION,artifact_generation_c,true,6,,436,pending,artifact-generation,codex|python3|shell,codex exec < generated/execution_packets/ART-136_TECH_DEBT_LEDGER.json,artifact file exists and envctl artifact registry contains hash,""artifact exists, hash recorded, validation evidence linked"",true,proof_records/ART-136_TECH_DEBT_LEDGER.proof.json,state/ART-136_TECH_DEBT_LEDGER.heartbeat.json,logs/ART-136_TECH_DEBT_LEDGER.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,medium,false,Part of full migration artifact contract."
LANG-0026,reference-package,prompts/ACCEPTANCE_CRITERIA.md,3,7,may,mandatory_capability,CAP-MIG-013,TASK-CDB002;TASK-CDB028;TASK-CDB039;TASK-CDB046;TASK-CDB064;TASK-CDB065;TASK-CDB066;TASK-CDB067;TASK-CDB068;TASK-CDB069;TASK-CDB090;TASK-CDB102;TASK-CDB105,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",Codex may only claim completion when all applicable criteria pass or are explicitly marked blocked with evidence.
LANG-0027,reference-package,prompts/AGENT_CONTROL_PROTOCOL.md,38,84,must,mandatory_capability,CAP-MIG-005,TASK-CDB010;TASK-CDB033;TASK-CDB034;TASK-CDB075;TASK-CDB089;TASK-CDB104,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",R3+ requires explicit approval unless policy has a pre-approved scoped rule. R4/R5 must default to approval-gated.
LANG-0028,reference-package,prompts/AGENT_CONTROL_PROTOCOL.md,46,12,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Operations must include an idempotency key derived from:
LANG-0029,reference-package,prompts/AGENT_CONTROL_PROTOCOL.md,54,17,may,mandatory_capability,CAP-MIG-007,TASK-CDB016;TASK-CDB061,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",Multiple agents may work in parallel only if operations have non-conflicting target scopes or the database obtains a lease/lock. Locks must be visible in live status.
LANG-0030,reference-package,prompts/AGENT_CONTROL_PROTOCOL.md,54,136,must,mandatory_capability,CAP-MIG-007,TASK-CDB016;TASK-CDB061,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",Multiple agents may work in parallel only if operations have non-conflicting target scopes or the database obtains a lease/lock. Locks must be visible in live status.
LANG-0031,reference-package,prompts/ANY_TARGET_EXTENSION_SPEC.md,3,60,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",The FlexNetOS/lifeos case is only the first target. envctl must support arbitrary migration targets.
LANG-0032,reference-package,prompts/ANY_TARGET_EXTENSION_SPEC.md,12,16,optional,compatibility_or_state_semantics,CAP-MIG-010,,,"The wording defines a nullable, permission, or backward-compatible state whose handling is mandatory rather than a deferred feature.",compare_root: /optional/path
LANG-0033,reference-package,prompts/ANY_TARGET_EXTENSION_SPEC.md,42,18,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",A target adapter must define:
LANG-0034,reference-package,prompts/CODEX_FINAL_EXECUTION_PROMPT.md,70,28,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","- Every claimed completion must cite changed files, commands run, verification output, and rollback path."
LANG-0035,reference-package,prompts/DATABASE_FEATURE_SPEC.md,9,21,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",The envctl database must persist:
LANG-0036,reference-package,prompts/DATABASE_FEATURE_SPEC.md,46,25,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Every status transition must append a run event.
LANG-0037,reference-package,prompts/DATABASE_FEATURE_SPEC.md,50,13,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Every event must include:
LANG-0038,reference-package,prompts/DATABASE_FEATURE_SPEC.md,71,7,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Codex must implement repo-native equivalents for:
LANG-0039,reference-package,prompts/DATABASE_FEATURE_SPEC.md,85,41,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","Artifact contracts are versioned. A run must reference exactly one artifact contract version and one recipe version. Contract changes create new versions, not silent edits."
LANG-0040,reference-package,prompts/DATABASE_FEATURE_SPEC.md,89,8,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Replay must verify:
LANG-0041,reference-package,prompts/DATABASE_FEATURE_SPEC.md,101,8,may,mandatory_capability,CAP-MIG-004,TASK-CDB072;TASK-CDB073;TASK-CDB074;TASK-CDB075;TASK-CDB076;TASK-CDB087;TASK-CDB088;TASK-CDB089;TASK-CDB090;TASK-CDB102,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.","Replay may be `verify-only`, `dry-run-plan`, or `execute-again`. Destructive replay requires explicit approval."
LANG-0042,reference-package,prompts/DATABASE_FEATURE_SPEC.md,105,8,may,mandatory_capability,CAP-MIG-005,TASK-CDB010;TASK-CDB033;TASK-CDB034;TASK-CDB075;TASK-CDB089;TASK-CDB104,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.","Agents may create plans, execute safe read-only operations, synthesize artifacts, run validations, and request approvals. Agents may not silently perform destructive operations, mutate production targets, or bypass safety policy."
LANG-0043,reference-package,prompts/DATABASE_FEATURE_SPEC.md,105,130,may,mandatory_capability,CAP-MIG-005,TASK-CDB010;TASK-CDB033;TASK-CDB034;TASK-CDB075;TASK-CDB089;TASK-CDB104,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.","Agents may create plans, execute safe read-only operations, synthesize artifacts, run validations, and request approvals. Agents may not silently perform destructive operations, mutate production targets, or bypass safety policy."
LANG-0044,reference-package,prompts/GAP_ANALYSIS.md,3,125,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","The prior package is a strong artifact-generation contract, but it is not yet a durable migration execution platform. Codex must close these gaps."
LANG-0045,reference-package,prompts/GAP_ANALYSIS.md,25,15,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",## Gaps Codex must explicitly search for in envctl
LANG-0046,reference-package,prompts/GAP_ANALYSIS.md,36,15,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",## Gaps Codex must explicitly search for in nu_plugin
LANG-0047,reference-package,prompts/ISSUE_NU_PLUGIN.md,9,102,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Human operators and agents need a structured CLI surface for envctl migration automation. The plugin must provide live visuals and control without becoming a second state store.
LANG-0048,reference-package,prompts/LIVE_VISUALS_AND_HUMAN_CONTROL.md,14,12,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",The plugin must expose:
LANG-0049,reference-package,prompts/LIVE_VISUALS_AND_HUMAN_CONTROL.md,30,12,may,mandatory_capability,CAP-MIG-008,TASK-CDB018;TASK-CDB035;TASK-CDB055;TASK-CDB063;TASK-CDB085;TASK-CDB089,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.","The plugin may format and summarize, but every visual must derive from envctl database records. No plugin-only inferred state should be treated as truth."
LANG-0050,reference-package,prompts/LIVE_VISUALS_AND_HUMAN_CONTROL.md,30,55,must,mandatory_capability,CAP-MIG-008,TASK-CDB018;TASK-CDB035;TASK-CDB055;TASK-CDB063;TASK-CDB085;TASK-CDB089,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.","The plugin may format and summarize, but every visual must derive from envctl database records. No plugin-only inferred state should be treated as truth."
LANG-0051,reference-package,prompts/LIVE_VISUALS_AND_HUMAN_CONTROL.md,30,127,should,mandatory_capability,CAP-MIG-008,TASK-CDB018;TASK-CDB035;TASK-CDB055;TASK-CDB063;TASK-CDB085;TASK-CDB089,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.","The plugin may format and summarize, but every visual must derive from envctl database records. No plugin-only inferred state should be treated as truth."
LANG-0052,reference-package,prompts/LIVE_VISUALS_AND_HUMAN_CONTROL.md,45,4,optional,mandatory_capability,CAP-MIG-009,TASK-CDB001;TASK-CDB030;TASK-CDB103,nu-plugin-requirement:REQ-061-ARCH11,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",## Optional richer visuals
LANG-0053,reference-package,prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md,5,229,optional,mandatory_capability,CAP-MIG-001,TASK-CDB030;TASK-CDB075;TASK-CDB089,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.","Your mission is to upgrade the local `envctl` database tooling and the connected `nu_plugin` repository so migration execution becomes a built-in, reproducible, agent-controllable database capability with live human visuals and optional human involvement."
LANG-0054,reference-package,prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md,9,12,may,mandatory_capability,CAP-MIG-002,TASK-CDB000;TASK-CDB036;TASK-CDB039,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",The runner may provide:
LANG-0055,reference-package,prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md,61,107,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Do not summarize away the prior migration artifact context. Treat it as the artifact contract that envctl must be able to execute and reproduce.
LANG-0056,reference-package,prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md,97,7,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","Codex must inspect actual repo layout, then implement/scaffold repo-native changes for:"
LANG-0057,reference-package,prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md,114,20,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",   - Event records must support replay integrity using hashes or monotonic sequence provenance.
LANG-0058,reference-package,prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md,138,14,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",   - Visuals must derive from envctl event streams/materialized views.
LANG-0059,reference-package,prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md,169,14,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","The contract must include every artifact from the prior response: system inventory, dependency maps, data flow, schema maps, validation, cutover, rollback, risk register, decision log, code maps, advanced artifacts, link graph, persistent memory, and wiki/index outputs."
LANG-0060,reference-package,prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md,173,98,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Define shared schema/types between envctl and `nu_plugin` before building commands. The boundary must cover:
LANG-0061,reference-package,prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md,192,83,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","Implement the external package adapter first, then native collectors. The adapter must be able to run/import `codex-flexnetos-migration-prompt-package` and convert outputs into envctl database records."
LANG-0062,reference-package,prompts/MASTER_PROMPT_ENVCTL_DB_NU_PLUGIN.md,196,75,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Implement the Nushell plugin commands using the shared protocol. Commands must output structured data suitable for live tables and graph views.
LANG-0063,reference-package,prompts/NU_PLUGIN_CONTRACT.md,9,7,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","Codex must adapt command names to the repo's existing conventions, but the functional surface must include:"
LANG-0064,reference-package,prompts/NU_PLUGIN_CONTRACT.md,9,95,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","Codex must adapt command names to the repo's existing conventions, but the functional surface must include:"
LANG-0065,reference-package,prompts/NU_PLUGIN_CONTRACT.md,39,10,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Commands must return Nushell-native structured records/tables. Examples of output columns:
LANG-0066,reference-package,prompts/NU_PLUGIN_CONTRACT.md,67,31,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Every mutating plugin command must append an event through envctl. The plugin must not write directly to arbitrary database tables unless envctl's architecture explicitly defines the plugin as an authorized DB client with transaction APIs.
LANG-0067,reference-package,prompts/NU_PLUGIN_CONTRACT.md,67,79,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Every mutating plugin command must append an event through envctl. The plugin must not write directly to arbitrary database tables unless envctl's architecture explicitly defines the plugin as an authorized DB client with transaction APIs.
LANG-0068,reference-package,prompts/NU_PLUGIN_CONTRACT.md,71,12,should,mandatory_capability,CAP-MIG-006,TASK-CDB029;TASK-CDB030;TASK-CDB031;TASK-CDB032;TASK-CDB103,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",The plugin should support:
LANG-0069,reference-package,prompts/NU_PLUGIN_CONTRACT.md,82,9,must,mandatory_capability,CAP-MIG-006,TASK-CDB029;TASK-CDB030;TASK-CDB031;TASK-CDB032;TASK-CDB103,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",Visuals must degrade gracefully in plain terminal mode.
LANG-0070,reference-package,prompts/NU_PLUGIN_CONTRACT.md,86,184,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","If envctl is unavailable, the plugin returns a structured error. If a run is blocked, the plugin displays the blocker and the next safe action. If an approval is required, the plugin must not proceed automatically."
LANG-0071,reference-package,prompts/SECURITY_REPRODUCIBILITY_MODEL.md,6,52,may,mandatory_capability,CAP-MIG-011,TASK-CDB010;TASK-CDB043;TASK-CDB060;TASK-CDB104,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",- Store command strings in redacted form when they may contain credentials.
LANG-0072,reference-package,prompts/SECURITY_REPRODUCIBILITY_MODEL.md,17,26,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",A migration run identity must include:
LANG-0073,reference-package,prompts/SECURITY_REPRODUCIBILITY_MODEL.md,43,12,should,mandatory_capability,CAP-MIG-012,TASK-CDB004;TASK-CDB055;TASK-CDB085;TASK-CDB089,,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",Run events should be chained:
LANG-0074,reference-package,prompts/spark_helpers/spark-live-visuals.md,3,147,optional,mandatory_capability,CAP-MIG-009,TASK-CDB001;TASK-CDB030;TASK-CDB103,nu-plugin-requirement:REQ-061-ARCH11,"The occurrence is reverse-linked to an explicit mandatory, review-only capability catalog record.",Design live visual tables and graph/timeline/status views from envctl database events and materialized views. Implement terminal-safe outputs and optional richer exports if repo supports them.
LANG-0075,reference-package,prompts/STRATEGY_DECISION.md,11,60,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","3. **Build envctl database execution in parallel.** envctl must persist targets, recipes, operations, evidence, approvals, artifacts, graph links, validations, checkpoints, rollbacks, and replay metadata."
LANG-0076,reference-package,prompts/STRATEGY_DECISION.md,17,140,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",That would produce useful artifacts but still leave migration execution outside the database. It would fail the bigger requirement: envctl must reproduce migration operations anytime.
LANG-0077,reference-package,prompts/STRATEGY_DECISION.md,25,81,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Because the hard boundary is not code generation; it is state ownership. envctl must own state and replay. `nu_plugin` must expose control/visuals. The prior package must become an executable artifact contract. These three surfaces have to converge around the same event and artifact schema.
LANG-0078,reference-package,prompts/STRATEGY_DECISION.md,25,120,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Because the hard boundary is not code generation; it is state ownership. envctl must own state and replay. `nu_plugin` must expose control/visuals. The prior package must become an executable artifact contract. These three surfaces have to converge around the same event and artifact schema.
LANG-0079,reference-package,prompts/STRATEGY_DECISION.md,25,167,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",Because the hard boundary is not code generation; it is state ownership. envctl must own state and replay. `nu_plugin` must expose control/visuals. The prior package must become an executable artifact contract. These three surfaces have to converge around the same event and artifact schema.
LANG-0080,reference-package,prompts/UTILIZE_FLEXNETOS_PACKAGE.md,20,13,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.",   - envctl must import this metadata into database records.
LANG-0081,reference-package,prompts/UTILIZE_FLEXNETOS_PACKAGE.md,23,18,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","   - The adapter must prove it can run/import the package, ingest artifacts, preserve evidence, and expose status through `nu_plugin`."
LANG-0082,reference-package,prompts/UTILIZE_FLEXNETOS_PACKAGE.md,27,7,must,mandatory_capability,,,,"The source uses explicit must wording, so the clause is already mandatory and cannot be downgraded to optional.","Codex must adapt names to the existing repo, but the capability surface is:"
