gate_id,work_order_id,correlation_id,must_read,may_update,must_update_on_change,validation_gates,safety_constraints,local_status,source
GATE-CDB010,TASK-CDB010,CDB010,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/docs/SECURITY_AND_SECRET_POLICY.md;src/nu_plugin/docs/UNSAFE_CAPTURE_POLICY.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,source blob and unsafe gates covered,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":12,""path"":""execution/TASK_FILE_MAP.csv"",""record"":11,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB011,TASK-CDB011,CDB011,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/docs/CODEX_BRIDGE.md;src/nu_plugin/docs/NUSHELL_PLUGIN_COMPAT.md;src/nu_plugin/docs/YAZELIX_PLACEMENT.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,Codex/Nu/Yazelix conflicts bridged,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":13,""path"":""execution/TASK_FILE_MAP.csv"",""record"":12,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB012,TASK-CDB012,CDB012,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/docs/TEST_PLAN.md;src/nu_plugin/docs/FIXTURE_MATRIX.md,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,all required fixtures listed,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":14,""path"":""execution/TASK_FILE_MAP.csv"",""record"":13,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB013,TASK-CDB013,CDB013,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/Cargo.toml;src/nu_plugin/crates/codedb/Cargo.toml;src/nu_plugin/crates/codedb_build_capture/Cargo.toml;src/nu_plugin/crates/codedb_cargo/Cargo.toml;src/nu_plugin/crates/codedb_context/Cargo.toml;src/nu_plugin/crates/codedb_core/Cargo.toml;src/nu_plugin/crates/codedb_fixtures/Cargo.toml;src/nu_plugin/crates/codedb_mcp/Cargo.toml;src/nu_plugin/crates/codedb_rust_static/Cargo.toml;src/nu_plugin/crates/codedb_store_pg/Cargo.toml;src/nu_plugin/crates/codedb_store_redb/Cargo.toml;src/nu_plugin/crates/nu_plugin_codedb/Cargo.toml;src/nu_plugin/tests/test_workspace_manifest.py;src/nu_plugin/logs/CDB013-workspace.log,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,cargo metadata succeeds,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":15,""path"":""execution/TASK_FILE_MAP.csv"",""record"":14,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB014,TASK-CDB014,CDB014,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/logs/CDB014-core.log,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,unit tests pass,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":16,""path"":""execution/TASK_FILE_MAP.csv"",""record"":15,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB015,TASK-CDB015,CDB015,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/logs/CDB015-redb-init.log,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,store init/metadata tests pass,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":17,""path"":""execution/TASK_FILE_MAP.csv"",""record"":16,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB016,TASK-CDB016,CDB016,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/logs/CDB016-redb-restore.log,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,backup restore smoke passes,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":18,""path"":""execution/TASK_FILE_MAP.csv"",""record"":17,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB017,TASK-CDB017,CDB017,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/logs/CDB017-fs.log,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,fixture scan rows stable,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":19,""path"":""execution/TASK_FILE_MAP.csv"",""record"":18,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB018,TASK-CDB018,CDB018,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/logs/CDB018-source.log,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,secret policy tests pass,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":20,""path"":""execution/TASK_FILE_MAP.csv"",""record"":19,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
GATE-CDB019,TASK-CDB019,CDB019,src/nu_plugin/CODEDB_START_HERE.md;src/nu_plugin/READINESS_GATE.md;src/nu_plugin/NAVIGATION.md;src/nu_plugin/prd/nu_plugin_codedb_v1_1_full_prd.md;src/nu_plugin/nu_plugin_codedb_execution_package_checklist.md;src/nu_plugin/execution/TASK_GRAPH.csv;src/nu_plugin/DOC_GRAPH.md;src/nu_plugin/DRIFT_GUARD.md;src/nu_plugin/STOP_CONDITIONS.md;src/nu_plugin/GOAL.md;src/nu_plugin/SUBGOALS.md;src/nu_plugin/ACCEPTANCE.md;src/nu_plugin/FIRST_RUN_PROMPT.md;src/nu_plugin/nu_plugin_codedb_remaining_execution_checklist.md,src/nu_plugin/logs/CDB019-cargo.log,src/nu_plugin/execution/COMMAND_LEDGER.csv;src/nu_plugin/execution/WORKLOG.md;src/nu_plugin/manifests/PACK_MANIFEST.json;src/nu_plugin/manifests/CHECKSUMS.sha256,cargo metadata fixture passes,,review,"{""commit"":""c84740532ded2a27ee283ea7a3a5f303eaeb61a7"",""csv_row"":21,""path"":""execution/TASK_FILE_MAP.csv"",""record"":20,""sha256"":""4a2424c6a7c9e4841140310664f1bcc213f12e2af7330a3309333ccbb105a575""}"
