source_table,task_id,prior_status,prior_claim,classification,proof_class,evidence_uri,canonical_lifeos_owner,note
envctl/migration-package/task_graph.csv,REQ-021_ENVCTL_TARGET_REGISTRY,pending,Implement target registry,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-022_ENVCTL_RUN_LEDGER,pending,Implement run ledger,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-023_ENVCTL_OPERATION_STATE,pending,Implement operation state machine,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-024_ENVCTL_ARTIFACT_REGISTRY,pending,Implement artifact registry,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-025_ENVCTL_VALIDATION_EVIDENCE,pending,Implement validation evidence store,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-026_ENVCTL_ROLLBACK_CHECKPOINTS,pending,Implement checkpoints and rollback handles,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-027_ENVCTL_REPLAY_ENGINE,pending,Implement replay/reproduce engine,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-028_ENVCTL_AGENT_CONTROL_API,pending,Implement agent control API,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-030_PLUGIN_PROTOCOL_MANIFEST,pending,Implement nu_plugin command manifest,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-031_PLUGIN_COMMAND_SURFACE,pending,Implement operator command surface,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-032_PLUGIN_LIVE_VISUALS,pending,Implement live visuals,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-033_PLUGIN_HUMAN_APPROVAL,pending,Implement human approval commands,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-034_PLUGIN_STATUS_STREAMS,pending,Implement status streams,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-040_SHARED_PROTOCOL_SCHEMAS,pending,Implement shared protocol schemas,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-041_TWO_REPO_INTEGRATION,pending,Implement two-repo integration,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-042_FILESYSTEM_BOUNDS,pending,Implement filesystem work boundaries,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-043_SECURITY_REDACTION,pending,Implement redaction and secret safety,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-044_INSTALL_BOOTSTRAP,pending,Implement install/bootstrap wiring,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-045_RUN_REPLAY,pending,Implement run/replay templates,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,ART-100_SYSTEM_INVENTORY,pending,Build System inventory,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-101_DIRECTORY_TREE,pending,Build Directory and subdirectory hierarchy tree,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-102_REPOSITORY_MAP,pending,Build Repository map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-103_SERVICE_DEP_GRAPH,pending,Build Application/service dependency graph,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-104_TOOLCHAIN_TREE,pending,Build Toolchain dependency tree,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-105_PACKAGE_LIB_GRAPH,pending,Build Package/library dependency graph,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-106_RUNTIME_DEP_MAP,pending,Build Runtime dependency map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-107_DATA_FLOW_GRAPH,pending,Build Data flow graph,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-108_DB_SCHEMA_MAP,pending,Build Database schema map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-109_DATA_LINEAGE,pending,Build Data lineage map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-110_API_CATALOG,pending,Build API contract catalog,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-111_EVENT_MAP,pending,Build Event/message contract map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-112_CODE_OWNERSHIP,pending,Build Code ownership map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-113_DEBUG_CODE_MAP,pending,Build Code map for debugging,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-114_ENV_CONFIG_MATRIX,pending,Build Environment matrix,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-115_CONFIG_INVENTORY,pending,Build Configuration inventory,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-116_INFRA_TOPOLOGY,pending,Build Infrastructure topology map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-117_IAM_MATRIX,pending,Build IAM/security access matrix,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-118_OBSERVABILITY,pending,Build Observability map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-119_BUSINESS_PROCESS,pending,Build Business process map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-120_WAVE_PLAN,pending,Build Migration wave plan,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-121_CUTOVER,pending,Build Cutover checklist,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-122_ROLLBACK,pending,Build Rollback plan,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-123_VALIDATION_RECONCILIATION,pending,Build Validation and reconciliation reports,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-124_TEST_COVERAGE,pending,Build Test coverage matrix,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-125_RISK_REGISTER,pending,Build Risk register,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-126_DECISION_LOG,pending,Build Decision log / ADRs,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-127_BLAST_RADIUS,pending,Build Blast-radius map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-128_READINESS_SCORECARD,pending,Build Migration readiness scorecard,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-129_BUSINESS_CAPABILITY,pending,Build Business capability map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-130_SHADOW_TRAFFIC,pending,Build Shadow traffic comparison report,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-131_GOLDEN_DATASET,pending,Build Golden dataset,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-132_PARITY_DASHBOARD,pending,Build Parity dashboard,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-133_DEPRECATION_MAP,pending,Build Deprecation map,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-134_EXCEPTION_INVENTORY,pending,Build Exception inventory,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-135_RACI,pending,Build Ownership/RACI matrix,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,ART-136_TECH_DEBT_LEDGER,pending,Build Technical debt ledger,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,"Inventory/architecture artifact (system inventory, dep graph, toolchain tree). Documentation artifact; not runtime product capability."
envctl/migration-package/task_graph.csv,REQ-200_FLEXNETOS_TARGET_DESCRIPTOR,pending,Create FlexNetOS target descriptor,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-201_FLEXNETOS_LIFEOS_COMPARISON,pending,Investigate FlexNetOS vs lifeos usage,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,REQ-202_FLEXNETOS_ADAPTER_RECIPE,pending,Build FlexNetOS adapter recipe,partial,package-proof-product-partial,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package declares this envctl capability 'complete' (package proof). Product evidence exists in envctl crates/engine (migration_db/catalog/replay/db) but current-head product+runtime receipt not separately bound — package proof != product proof.
envctl/migration-package/task_graph.csv,VER-300_UNIT_VALIDATION,pending,Run unit/integration validation,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package verification task; package-level proof only.
envctl/migration-package/task_graph.csv,VER-301_SQL_SCHEMA_TEST,pending,Run SQL schema tests,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package verification task; package-level proof only.
envctl/migration-package/task_graph.csv,VER-302_PACKET_SCHEMA_VALIDATION,pending,Validate packets and schemas,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package verification task; package-level proof only.
envctl/migration-package/task_graph.csv,VER-303_GOAL_LOOP_COMPUTE,pending,Compute complete /goal run path,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package verification task; package-level proof only.
envctl/migration-package/task_graph.csv,VER-304_FINAL_COMPLETENESS,pending,Run final completeness check,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package verification task; package-level proof only.
envctl/migration-package/task_graph.csv,REL-400_PACKAGE_ARCHIVE,pending,Create upgraded package archive,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package release/maintenance task; package-level proof only.
envctl/migration-package/task_graph.csv,REL-401_HANDOFF,pending,Prepare final handoff,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package release/maintenance task; package-level proof only.
envctl/migration-package/task_graph.csv,MAINT-500_README_NAV_BACKTRACE,complete,Record README navigation/backtrace update,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package release/maintenance task; package-level proof only.
envctl/migration-package/task_graph.csv,MAINT-501_RESTORE_PROOF_TEMPLATE,complete,Restore proof template carried from v4,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package release/maintenance task; package-level proof only.
envctl/migration-package/task_graph.csv,MAINT-502_LIVE_MANIFEST_VERIFICATION_SYNC,complete,Synchronize live verification and manifest records,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package release/maintenance task; package-level proof only.
envctl/migration-package/task_graph.csv,MAINT-503_CODEX_FINAL_PROMPT,complete,Create final Codex execution prompt,planning-only,package-artifact-proof,"envctl-db-nu-plugin-migration-automation-package/execution-framework/{proof_records,generated}/",lifeos envctl migration-automation capability,Package release/maintenance task; package-level proof only.
