work_order_id,correlation_id,source_graph,source_graph_row,source_status,local_status,companion_gate_id,requirement_count,command_count,intent_lock_blake3
TASK-CDB011,CDB011,execution/TASK_GRAPH.csv,13,complete,review,GATE-CDB011,0,1,blake3:90efe9ef7ea6faa6000274762fa9af99e9608d02eb67d376cea61217f8c8058a
TASK-CDB012,CDB012,execution/TASK_GRAPH.csv,14,complete,review,GATE-CDB012,0,1,blake3:a98c4d57e344944ee6485a487fe7d9db040e631745efb14dbe1e19cf9db527f4
TASK-CDB013,CDB013,execution/TASK_GRAPH.csv,15,complete,review,GATE-CDB013,1,1,blake3:6a0ea14b70d4a1b2f1fb40b25d378c312246189c056ecac6a7f6e42a128ddb26
TASK-CDB014,CDB014,execution/TASK_GRAPH.csv,16,complete,review,GATE-CDB014,1,0,blake3:7b2f208e15191054ac535669add019d3e2d30836cc255cb884d73e5bc3b862a0
TASK-CDB015,CDB015,execution/TASK_GRAPH.csv,17,complete,review,GATE-CDB015,1,0,blake3:fb64a729ab30338f27de193f14e2347844cdb3077ed7bac07961ee11fb730a92
TASK-CDB016,CDB016,execution/TASK_GRAPH.csv,18,complete,review,GATE-CDB016,1,0,blake3:fc1fc24d260d61ba71b0d26e07af6c1fed0e08a0831da5f9bad6837f5ccee536
TASK-CDB017,CDB017,execution/TASK_GRAPH.csv,19,complete,review,GATE-CDB017,1,0,blake3:b81579b9455422e7d4679fdb0fa77f4358f697de41cfd9dd78ed37944fc52d2a
TASK-CDB018,CDB018,execution/TASK_GRAPH.csv,20,complete,review,GATE-CDB018,1,0,blake3:c6b0c4244b2dc4066fa999e137130e2e791cdc5ec11b82bd4ed94d5a8ebc62c3
TASK-CDB019,CDB019,execution/TASK_GRAPH.csv,21,complete,review,GATE-CDB019,1,0,blake3:8727aa29bbbaf4c1822eb2c46826013b99786dda4ccc6682e49f9913ce8b97bf
TASK-CDB020,CDB020,execution/TASK_GRAPH.csv,22,complete,review,GATE-CDB020,1,0,blake3:e8e240296dd98291484cab5a73fdbfbd08964aa2863cdc03a546acb9882c9146
TASK-CDB021,CDB021,execution/TASK_GRAPH.csv,23,complete,review,GATE-CDB021,1,0,blake3:41702b638dc5316fe68920cb8822977bc8a25b09169d1a227c5f26398b57b8f5
TASK-CDB022,CDB022,execution/TASK_GRAPH.csv,24,complete,review,GATE-CDB022,1,0,blake3:55a6a7b5ebce2ab0dbf303aa0a2d7358cda18cd953d239e2bc45ce0b948af686
TASK-CDB023,CDB023,execution/TASK_GRAPH.csv,25,complete,review,GATE-CDB023,1,0,blake3:341a6b75f461667edf656498c816cdd7bba179388d12040317033a8db6735c16
TASK-CDB024,CDB024,execution/TASK_GRAPH.csv,26,complete,review,GATE-CDB024,1,0,blake3:b6ecb162b281e2152934d95726e9b79d538505c239be7a1539dc808fe454f6b1
TASK-CDB025,CDB025,execution/TASK_GRAPH.csv,27,complete,review,GATE-CDB025,1,0,blake3:2f592cdaadd6ce980a89e56656d124cb8db7120c15e92cce16e75b59bd0d6cbe
TASK-CDB026,CDB026,execution/TASK_GRAPH.csv,28,complete,review,GATE-CDB026,1,0,blake3:4782ae5db57ad0ba8c9d85a7cd3f65d3b4728f029a0d559123e457c278049073
TASK-CDB027,CDB027,execution/TASK_GRAPH.csv,29,complete,review,GATE-CDB027,1,0,blake3:ac7b3b52e8609db181c9be11b7912282ff4f641f90f1f08ccbfd37d6ccedb9f8
TASK-CDB028,CDB028,execution/TASK_GRAPH.csv,30,complete,review,GATE-CDB028,1,0,blake3:b0bc4edcb73e79fe0d9b8793f561b21f26e74fa3746de04a1f8ee4bd68ac5d16
TASK-CDB029,CDB029,execution/TASK_GRAPH.csv,31,complete,review,GATE-CDB029,1,0,blake3:c108038a4e06f0b2b0737647905a3c216a92a9423a3288ac314dfa521d1783bb
TASK-CDB030,CDB030,execution/TASK_GRAPH.csv,32,complete,review,GATE-CDB030,1,0,blake3:40591c8d2102b3e07ac10c9a6399431184442e88f6856404b3835eac0b38ffcd
TASK-CDB031,CDB031,execution/TASK_GRAPH.csv,33,complete,review,GATE-CDB031,1,0,blake3:a89c6af04bd8413902a970b0b4626ac750e3647c8edbf8e066cc3568c5199d43
TASK-CDB032,CDB032,execution/TASK_GRAPH.csv,34,complete,review,GATE-CDB032,1,0,blake3:0a26d15765b0df907cc29b1241c0484b0b09c8e5d1f8727012ecf380b5b9e8bc
TASK-CDB033,CDB033,execution/TASK_GRAPH.csv,35,complete,review,GATE-CDB033,1,0,blake3:94be2c2864a59a86d8a86f5226a13238bdc8ab42d26880de7dffa8bc4e9ea565
TASK-CDB034,CDB034,execution/TASK_GRAPH.csv,36,complete,review,GATE-CDB034,1,0,blake3:c91493543375f43f5569aef04e33b305ad68e6bebeaab049321e21d586b03d54
TASK-CDB035,CDB035,execution/TASK_GRAPH.csv,37,complete,review,GATE-CDB035,1,0,blake3:472165a14f40bf6925c67a579fd4f413e87d4512ff3cae3fe33fc74b916ae9ce
TASK-CDB036,CDB036,execution/TASK_GRAPH.csv,38,complete,review,GATE-CDB036,1,0,blake3:3211cb924c8f41eff91f3c1f5b0ccc9e813e1d130872b6de0143bba18d9d3042
TASK-CDB037,CDB037,execution/TASK_GRAPH.csv,39,complete,review,GATE-CDB037,1,0,blake3:937fae092723de94e0b29c390ecd5d32c7ac928a09d2215f262320008e2b5aec
TASK-CDB038,CDB038,execution/TASK_GRAPH.csv,40,complete,review,GATE-CDB038,1,0,blake3:0ad8afcda4bca13d321ce5fbea84da25c1ba60cec0d869d2af48b5af9ac5f29e
TASK-CDB039,CDB039,execution/TASK_GRAPH.csv,41,complete,review,GATE-CDB039,1,0,blake3:e94deb31d3e59560c3a13b2878bc3293befd6f9780733091e18c8a67d95cc4fe
TASK-CDB040,CDB040,execution/TASK_GRAPH.csv,42,complete,review,GATE-CDB040,1,1,blake3:23b370fcdd4e340906145a7fddd6f1f9ebd9025bfc9d79c814e27cba627938de
TASK-CDB041,CDB041,execution/TASK_GRAPH.csv,43,complete,review,GATE-CDB041,1,1,blake3:ba2258ea13e41096f3654e4aaf786003ca932a33ca16cb7231123c45efaf0037
TASK-CDB042,CDB042,execution/TASK_GRAPH.csv,44,complete,review,GATE-CDB042,1,0,blake3:9c708685304dbefa3c8838a25be15823666f339eeaada0ea7aebd6423e4c7017
TASK-CDB043,CDB043,execution/TASK_GRAPH.csv,45,complete,review,GATE-CDB043,1,0,blake3:ea8dffa175d8c325508ddc42d4b1940e307f940c93796b1282b946623c8bbae9
TASK-CDB044,CDB044,execution/TASK_GRAPH.csv,46,complete,review,GATE-CDB044,1,0,blake3:348529991f34ab017e603eea7f18d37c84dfd66afd3921a8454381b4d3bb5461
TASK-CDB045,CDB045,execution/TASK_GRAPH.csv,47,complete,review,GATE-CDB045,1,0,blake3:c0b26d96dc026f1442f68c8e21ab40f986bab87548e2508290a464f1643f5c01
TASK-CDB046,CDB046,execution/TASK_GRAPH.csv,48,complete,review,GATE-CDB046,1,2,blake3:a4a781075c8d9274313b03ff573f51cc4f8550a3ec5124fe939f7b330aa431d7
TASK-CDB047,CDB047,execution/TASK_GRAPH.csv,49,complete,review,GATE-CDB047,1,0,blake3:0f6ad374dfdb2947fc8ce7629ce49c8d02f06fb15b2d2761067db42f061e80db
TASK-CDB048,CDB048,execution/TASK_GRAPH.csv,50,complete,review,GATE-CDB048,1,0,blake3:359a1988bc9ae69caa6e621149fb01664e24b22bd5bf6a49bc3fdf98b4c0f72a
TASK-CDB049,CDB049,execution/TASK_GRAPH.csv,51,complete,review,GATE-CDB049,1,0,blake3:62e28da533bf2443186b911321b329ce4831ebaf5490515d6ae2bf62e42e4d22
TASK-CDB050,CDB050,execution/TASK_GRAPH.csv,52,complete,review,GATE-CDB050,1,2,blake3:5621b61c5b165f5c40552ef3de3129eca8270569e4cce613faf6efd3f80d2bb4
TASK-CDB051,CDB051,execution/TASK_GRAPH.csv,53,complete,review,GATE-CDB051,1,0,blake3:72a50eebf63028af999fc73f4975e84ebf3965828795b60e9eb8f239c28ff131
TASK-CDB052,CDB052,execution/TASK_GRAPH.csv,54,complete,review,GATE-CDB052,1,0,blake3:5f112479551c93575aece08b0d8f2cbb3a0e34e1031cd791bdf9110f164ea824
TASK-CDB053,CDB053,execution/TASK_GRAPH.csv,55,complete,review,GATE-CDB053,1,0,blake3:9efd38a37bd44b20c11cb207b335d52af0e5f2a7569788644f04cdc5e2309567
TASK-CDB054,CDB054,execution/TASK_GRAPH.csv,56,complete,review,GATE-CDB054,1,0,blake3:58c6765584b6d960cf4cb69ea1393fc0367a678c2dedba46f84da30401a580e7
TASK-CDB055,CDB055,execution/TASK_GRAPH.csv,57,complete,review,GATE-CDB055,1,0,blake3:c18c05d96eeeb5fb170f34787a433453570bb9789e5b58c95f4cfdd09dc8fd47
TASK-CDB056,CDB056,execution/TASK_GRAPH.csv,58,complete,review,GATE-CDB056,1,0,blake3:2015017cd5cc67256bdc1f7bd98b2db787c4a7e87d2ae0d11ef818aa24150346
TASK-CDB057,CDB057,execution/TASK_GRAPH.csv,59,complete,review,GATE-CDB057,1,0,blake3:0f4c0221b8ca6be797f52464bb14d4efb1e8cd925b4926cf4cfa81364f9e6e84
TASK-CDB058,CDB058,execution/TASK_GRAPH.csv,60,complete,review,GATE-CDB058,1,0,blake3:0e97ec713b2ef0a23fa7af8fb672512627088dca7ce6611a4c0eb7a7be4ec79d
TASK-CDB059,CDB059,execution/TASK_GRAPH.csv,61,complete,review,GATE-CDB059,1,0,blake3:6107b7ebccc36c67a3a7baff320b35f231e2529cafd66e76691d507f85c33832
TASK-CDB060,CDB060,execution/TASK_GRAPH.csv,62,complete,review,GATE-CDB060,1,0,blake3:840cd3bfd56c50a6599ed7cd7b4d1744df1e554b94d20fe646044e0b642fdcbc
TASK-CDB061,CDB061,execution/TASK_GRAPH.csv,63,complete,review,GATE-CDB061,1,0,blake3:9ef64f84a8fa36c451adf8d4210aaa00d77b1dbff58463ede9a8720163207b2e
TASK-CDB062,CDB062,execution/TASK_GRAPH.csv,64,complete,review,GATE-CDB062,1,0,blake3:b1e12cb30a32cc3f4760b0a73ee61e13ead475602cc66d175abc45d664ac25c3
TASK-CDB063,CDB063,execution/TASK_GRAPH.csv,65,complete,review,GATE-CDB063,1,0,blake3:0856ac4e223afc6d79736a9bda62feecce34f664dcafbbf5535b84363ba0b6d6
TASK-CDB064,CDB064,execution/TASK_GRAPH.csv,66,complete,review,GATE-CDB064,0,1,blake3:f3030ce60edaf9738de888081fc4613651a4dba05ab2e0d1448592fe6af317fa
TASK-CDB065,CDB065,execution/TASK_GRAPH.csv,67,complete,review,GATE-CDB065,0,1,blake3:e33f5f5fe65b59ae1d0479531c645b1de895601b9823a6d66958127f6e006400
TASK-CDB066,CDB066,execution/TASK_GRAPH.csv,68,complete,review,GATE-CDB066,0,1,blake3:21819cce0991c25088ef1020b0b8b565e471acc6db6488b5c7b3ce18b3eb046a
TASK-CDB067,CDB067,execution/TASK_GRAPH.csv,69,complete,review,GATE-CDB067,0,2,blake3:0f34ce924ef4292fa0504bd28a9c20d1b32995407f043e6d8130b21f74b8912a
TASK-CDB068,CDB068,execution/TASK_GRAPH.csv,70,complete,review,GATE-CDB068,0,3,blake3:cae48df9eb0cab96f4165d7e7e2e755d2703a3b76c0569304b2a17b0ca56459b
TASK-CDB069,CDB069,execution/TASK_GRAPH.csv,71,complete,review,GATE-CDB069,0,1,blake3:5a2360a8d64cd7daeb3cdeccff6a0fe55513fff3fe7cbb411052c8cd8e7936f7
TASK-CDB070,CDB070,execution/BIDIRECTIONAL_TASK_GRAPH.csv,2,complete,review,GATE-CDB070,0,2,blake3:2aa9274e00f3c1b8a1fe8c84b96c06877d62ed71f84bda85e8a1d7efd97e4529
TASK-CDB071,CDB071,execution/BIDIRECTIONAL_TASK_GRAPH.csv,3,complete,review,GATE-CDB071,0,1,blake3:ba63ea9afafa59f8368f6c516882e1d78cf6d48cf899168929b40b9b644b56b9
TASK-CDB072,CDB072,execution/BIDIRECTIONAL_TASK_GRAPH.csv,4,complete,review,GATE-CDB072,0,1,blake3:014f15698f484ac377ef32ce5e4bd237f0ab919d3f7ac1b6bbf6edccf405a58a
TASK-CDB073,CDB073,execution/BIDIRECTIONAL_TASK_GRAPH.csv,5,complete,review,GATE-CDB073,0,1,blake3:2a75e3193a7f66eeef8a864c4206523056e8de541031f8548348f25b79162911
TASK-CDB074,CDB074,execution/BIDIRECTIONAL_TASK_GRAPH.csv,6,complete,review,GATE-CDB074,0,2,blake3:337f7cccfeb03663b6d287e02fe250f66ebb93d3b5fda0c15296baaa5e594245
TASK-CDB075,CDB075,execution/BIDIRECTIONAL_TASK_GRAPH.csv,7,complete,review,GATE-CDB075,0,1,blake3:3f503b9a2026a9bf5f79edbe7ed48be705ec26d37cd8d5625e5b25f087487eaf
TASK-CDB076,CDB076,execution/BIDIRECTIONAL_TASK_GRAPH.csv,8,complete,review,GATE-CDB076,0,1,blake3:f8d0d4afb2150a578748241b47e3aa1193658a662f013df4e51b88a955f11fec
TASK-CDB077,CDB077,execution/BIDIRECTIONAL_TASK_GRAPH.csv,9,complete,review,GATE-CDB077,1,3,blake3:fd003287bb37193b108589c437d3f35f4ea317b25297ef4dd517f377914491d2
TASK-CDB078,CDB078,execution/BIDIRECTIONAL_TASK_GRAPH.csv,10,complete,review,GATE-CDB078,1,4,blake3:82be3b84766ee0a7178a966caac22453ca2b7491e1e0ec02a83e2e252efdb854
TASK-CDB079,CDB079,execution/BIDIRECTIONAL_TASK_GRAPH.csv,11,complete,review,GATE-CDB079,1,1,blake3:9a10320dcbe852d7b1304558f062e5dfc6721aa538c15779d6afb0f5997cd80d
TASK-CDB080,CDB080,execution/BIDIRECTIONAL_TASK_GRAPH.csv,12,complete,review,GATE-CDB080,1,1,blake3:6c438d630bccf947d63489f44d3dac46676947bbc3f1de8a14244766c9507c23
TASK-CDB081,CDB081,execution/BIDIRECTIONAL_TASK_GRAPH.csv,13,complete,review,GATE-CDB081,1,2,blake3:7670b062690d35d5ea3a47817f3f47f8862a3d3440c58965f0f0e7422aa507e2
TASK-CDB082,CDB082,execution/BIDIRECTIONAL_TASK_GRAPH.csv,14,complete,review,GATE-CDB082,1,1,blake3:c6eae9da57afe0f3007ed48cbc151f3e9284b09d2aa2b6ef0861b8aac43a9936
TASK-CDB083,CDB083,execution/BIDIRECTIONAL_TASK_GRAPH.csv,15,complete,review,GATE-CDB083,1,2,blake3:130a25fde8a06ed53ff276cb9bf2fff39d434858aa873106cc2395f75447669a
TASK-CDB084,CDB084,execution/BIDIRECTIONAL_TASK_GRAPH.csv,16,complete,review,GATE-CDB084,1,1,blake3:01c679409bc1ea9da54da3f6b675d63249032932a88f1c045ad5d9d7bc625430
TASK-CDB085,CDB085,execution/BIDIRECTIONAL_TASK_GRAPH.csv,17,complete,review,GATE-CDB085,1,1,blake3:480793073fa9bccb5d4a6949ca2f4246bc0693f9abda5d1289c77e3ee3126d84
TASK-CDB086,CDB086,execution/BIDIRECTIONAL_TASK_GRAPH.csv,18,complete,review,GATE-CDB086,1,3,blake3:6b10e17b14c1d0f082d40f0eb3d81d932576a9f5cce349ab98c20bdd2b721c60
TASK-CDB087,CDB087,execution/BIDIRECTIONAL_TASK_GRAPH.csv,19,complete,review,GATE-CDB087,1,1,blake3:81617a8abcf1c5665a5e201829870c0f22f4fc47447796e71050c528d7598cee
TASK-CDB088,CDB088,execution/BIDIRECTIONAL_TASK_GRAPH.csv,20,complete,review,GATE-CDB088,1,1,blake3:3728146b4c96cf114e45f1bbb549f9010f69d5684241564d759a1c15687250bc
TASK-CDB089,CDB089,execution/BIDIRECTIONAL_TASK_GRAPH.csv,21,complete,review,GATE-CDB089,1,1,blake3:53a6f650650141cd67c1b6213cc0ede7560dbd76ca889dd557b1061062d9bd4c
TASK-CDB090,CDB090,execution/BIDIRECTIONAL_TASK_GRAPH.csv,22,complete,review,GATE-CDB090,1,2,blake3:a6aedc0a782af0e0606aa3f14866087bcfb7a7071eb51e21741b378b2e62d0cd
TASK-CDB091,CDB091,execution/POLYGLOT_TASK_GRAPH.csv,2,complete,review,GATE-CDB091,0,1,blake3:f56ae2cc682ef01b07758135ee96c03110aa3b77b089872627c4e8be2b09906f
TASK-CDB092,CDB092,execution/POLYGLOT_TASK_GRAPH.csv,3,complete,review,GATE-CDB092,0,0,blake3:18165f23bba268b7518469e15bfac4e4b694efdfd8b7f3b7e3ccfb380b3226c8
TASK-CDB093,CDB093,execution/POLYGLOT_TASK_GRAPH.csv,4,complete,review,GATE-CDB093,0,0,blake3:0d11d47bd3c9c693ed260cce18ed27342a12183909fb92012e687aac0d0eaf10
TASK-CDB094,CDB094,execution/POLYGLOT_TASK_GRAPH.csv,5,complete,review,GATE-CDB094,0,0,blake3:553f82f4cbe4c8d701f7eee1472455b83dee3a4760dca7ddc91bcb8af2c9f327
TASK-CDB095,CDB095,execution/POLYGLOT_TASK_GRAPH.csv,6,complete,review,GATE-CDB095,0,0,blake3:a7ec1d705973d2d78353411e5a43ec5a3818e2f4ede7ca7c0c3bf5c231432df0
TASK-CDB096,CDB096,execution/POLYGLOT_TASK_GRAPH.csv,7,complete,review,GATE-CDB096,0,0,blake3:811408acd360430e967ed1dd488a0fbe98e0595f77b57d1a5d4b7e7527568e9b
TASK-CDB097,CDB097,execution/POLYGLOT_TASK_GRAPH.csv,8,complete,review,GATE-CDB097,0,0,blake3:4c312ed766185c1a970ed1838ea78d32911a624b4ebf822411ea245405d71a0a
TASK-CDB098,CDB098,execution/POLYGLOT_TASK_GRAPH.csv,9,complete,review,GATE-CDB098,0,0,blake3:fb8c8213866169e6e19c032c9afb13ab1585e1163372b8fbce919a0486adc92d
TASK-CDB099,CDB099,execution/POLYGLOT_TASK_GRAPH.csv,10,complete,review,GATE-CDB099,0,0,blake3:9985759f563e3e85902648bfef70e18d782cf9f7b849017ec27f470a0e9fc85c
TASK-CDB100,CDB100,execution/POLYGLOT_TASK_GRAPH.csv,11,complete,review,GATE-CDB100,0,0,blake3:11d84738460679e6e36d2fe5a05394ed8df0cefad23361c3f8ae612f472b6f28
TASK-CDB101,CDB101,execution/POLYGLOT_TASK_GRAPH.csv,12,complete,review,GATE-CDB101,0,0,blake3:6fae53882f6b5c2cd222f6a2e583678be1c9b42869fe09e57ceba11df3a38548
TASK-CDB102,CDB102,execution/POLYGLOT_TASK_GRAPH.csv,13,complete,review,GATE-CDB102,0,0,blake3:2326132b814fdb590698dac324dac2a26e847035c3d15aee703219906d91efa3
TASK-CDB103,CDB103,execution/POLYGLOT_TASK_GRAPH.csv,14,complete,review,GATE-CDB103,0,0,blake3:ce9ee7622f27203728f670e857771ebb4c37f2e65df49b7e4a1c5ad6d68320b2
TASK-CDB104,CDB104,execution/POLYGLOT_TASK_GRAPH.csv,15,complete,review,GATE-CDB104,0,0,blake3:c2853c0c2c99dea459a423e2af832260171315388f75d016c43ec746a7d88fd4
TASK-CDB105,CDB105,execution/POLYGLOT_TASK_GRAPH.csv,16,complete,review,GATE-CDB105,0,3,blake3:ab6474505fe365c0989cec9d1547433ea148faf821a37cfdeb75df0b28b525c0
